,Code,Name,一级行业,二级行业,上市日期,行业
0,000038.SZ,深大通,传媒,广告营销,1994/8/8,传媒
1,000607.SZ,华媒控股,传媒,广告营销,1996/8/30,传媒
2,000676.SZ,智度股份,传媒,广告营销,1996/12/24,传媒
3,000917.SZ,电广传媒,传媒,广告营销,1999/3/25,传媒
4,002027.SZ,分众传媒,传媒,广告营销,2004/8/4,传媒
5,002103.SZ,广博股份,传媒,广告营销,2007/1/10,传媒
6,002131.SZ,利欧股份,传媒,广告营销,2007/4/27,传媒
7,002137.SZ,实益达,传媒,广告营销,2007/6/13,传媒
8,002247.SZ,聚力文化,传媒,广告营销,2008/6/12,传媒
9,002291.SZ,星期六,传媒,广告营销,2009/9/3,传媒
10,002400.SZ,省广集团,传媒,广告营销,2010/5/6,传媒
11,002712.SZ,思美传媒,传媒,广告营销,2014/1/23,传媒
12,002878.SZ,元隆雅图,传媒,广告营销,2017/6/6,传媒
13,002995.SZ,天地在线,传媒,广告营销,2020/8/5,传媒
14,300038.SZ,*ST数知,传媒,广告营销,2010/1/8,传媒
15,300058.SZ,蓝色光标,传媒,广告营销,2010/2/26,传媒
16,300063.SZ,天龙集团,传媒,广告营销,2010/3/26,传媒
17,300071.SZ,*ST嘉信,传媒,广告营销,2010/4/21,传媒
18,300242.SZ,佳云科技,传媒,广告营销,2011/7/12,传媒
19,300269.SZ,ST联建,传媒,广告营销,2011/10/12,传媒
20,300280.SZ,紫天科技,传媒,广告营销,2011/12/29,传媒
21,300343.SZ,联创股份,传媒,广告营销,2012/8/1,传媒
22,300392.SZ,腾信股份,传媒,广告营销,2014/9/10,传媒
23,300612.SZ,宣亚国际,传媒,广告营销,2017/2/15,传媒
24,300766.SZ,每日互动,传媒,广告营销,2019/3/25,传媒
25,300781.SZ,因赛集团,传媒,广告营销,2019/6/6,传媒
26,300805.SZ,电声股份,传媒,广告营销,2019/11/21,传媒
27,300987.SZ,川网传媒,传媒,广告营销,2021/5/11,传媒
28,600088.SH,中视传媒,传媒,广告营销,1997/6/16,传媒
29,600242.SH,ST中昌,传媒,广告营销,2000/12/7,传媒
30,600386.SH,北巴传媒,传媒,广告营销,2001/2/16,传媒
31,600556.SH,天下秀,传媒,广告营销,2001/8/7,传媒
32,600986.SH,浙文互联,传媒,广告营销,2004/4/26,传媒
33,603598.SH,引力传媒,传媒,广告营销,2015/5/27,传媒
34,603729.SH,ST龙韵,传媒,广告营销,2015/3/24,传媒
35,603825.SH,华扬联众,传媒,广告营销,2017/8/2,传媒
36,605168.SH,三人行,传媒,广告营销,2020/5/28,传媒
37,000681.SZ,视觉中国,传媒,互联网媒体,1997/1/21,传媒
38,002095.SZ,生意宝,传媒,互联网媒体,2006/12/15,传媒
39,002188.SZ,*ST巴士,传媒,互联网媒体,2007/11/22,传媒
40,002315.SZ,焦点科技,传媒,互联网媒体,2009/12/9,传媒
41,002530.SZ,金财互联,传媒,互联网媒体,2010/12/31,传媒
42,300295.SZ,三六五网,传媒,互联网媒体,2012/3/15,传媒
43,300359.SZ,全通教育,传媒,互联网媒体,2014/1/21,传媒
44,300413.SZ,芒果超媒,传媒,互联网媒体,2015/1/21,传媒
45,300770.SZ,新媒股份,传媒,互联网媒体,2019/4/19,传媒
46,600640.SH,号百控股,传媒,互联网媒体,1993/4/7,传媒
47,603000.SH,人民网,传媒,互联网媒体,2012/4/27,传媒
