Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
000038.SZ,"3,337.8579","3,284.1989","3,238.4977","3,177.4982","3,163.0192","3,069.1585","2,917.1642","2,953.5199","3,010.6060","3,062.6041","3,033.7865","5,866.5774","5,677.6644","5,728.9310","5,771.9283","5,692.5316","6,093.7423","6,177.9144","6,393.6236","6,260.1417","6,534.0528","3,669.2208",744.7775,689.9347,631.8674,647.9622,683.2926,718.6156,676.0330,678.5236,680.9156,629.9320,619.7388,620.5388,610.1563,682.7391,652.8181,644.2359,630.4647,618.0587,541.0587,515.5460,517.7996,446.4718,434.7323,446.5359,476.2936,361.8657,307.0004,351.5869
000607.SZ,0.0000,"3,841.6902","3,223.6610","3,764.7511","3,791.6385","3,526.4046","3,562.6959","3,570.4250","3,459.0385","3,363.6365","3,248.6040","3,137.5203","3,120.7064","3,156.7661","3,200.6043","3,083.8875","2,987.8842","2,890.9105","2,963.0356","2,793.4342","2,684.8935","2,301.5247","2,394.8001","2,096.8501","2,108.9300","1,861.2084","1,952.9527","2,345.4698","2,018.6531","1,884.5329","1,954.9190","1,974.3979","1,911.1576","1,833.9034","2,015.2376","1,970.7450","1,630.3101","1,605.1154","1,710.5710","1,704.2224","1,582.4212","1,643.2620","1,611.2566","1,848.1058","1,965.5767","1,895.2406","2,105.7555","2,552.3724","2,570.3101","2,543.3221"
000676.SZ,0.0000,"5,968.0575","5,993.8105","9,279.0786","9,472.1851","9,992.0049","9,258.7698","8,835.1550","8,305.6274","8,749.8879","7,889.6581","7,812.6926","7,184.4017","7,347.1207","7,027.3097","7,398.8836","6,922.7725","6,869.0675","6,491.2745","6,259.8134","5,858.3419",320.3253,312.5665,563.8900,520.6679,570.7710,628.9272,698.6844,673.6139,691.6531,722.3543,811.2407,808.6260,790.9561,815.1585,891.7429,922.5568,982.7986,926.5510,"1,160.3426","1,169.3924","1,084.0838","1,159.3149","1,056.0942","1,138.5088","1,433.4261","1,455.6452","1,433.1329","1,438.4879","1,442.2644"
000917.SZ,0.0000,"19,996.9062","20,783.5926","22,940.1166","22,175.0494","22,135.6656","22,398.6405","21,979.6814","22,188.0596","23,129.0357","23,268.7739","24,062.3909","23,611.2078","23,735.9641","23,747.7959","23,141.4356","23,347.0610","23,331.3008","22,516.8124","21,439.7078","21,207.8191","19,964.2513","20,152.5724","17,405.9752","16,711.0770","15,768.2663","15,773.5482","14,726.3967","14,146.7058","14,878.4575","16,941.4177","13,728.2216","13,618.0657","13,464.4280","13,357.5942","12,899.7377","12,367.1922","11,742.0998","11,227.8881","11,148.5444","11,049.9678","10,421.0189","11,583.8247","9,897.0623","9,634.0058","9,431.9655","9,270.1829","8,224.0406","8,154.9260","7,994.9461"
002027.SZ,0.0000,"24,783.5431","21,646.1651","20,361.2234","19,577.0028","18,553.0286","18,687.0792","17,826.8492","18,354.5873","18,116.4637","19,021.5104","18,485.5328","17,455.2550","15,708.7604","15,554.6028","12,618.6846","14,512.3167","12,844.0694","12,129.0598","9,943.4577","8,782.4003","12,805.9172","12,501.6680",620.6656,599.6766,589.6470,590.7725,596.2246,582.6158,598.0870,683.7723,893.2134,911.3923,935.0742,899.5783,817.9131,829.0633,830.1751,919.7847,967.4349,977.6355,"1,025.3550","1,042.9439","1,036.0696","1,130.0292","1,106.5423","1,088.7054","1,079.4399","1,065.0342","1,012.5988"
002103.SZ,0.0000,"1,570.6609","1,681.3161","1,788.8584","1,743.6583","1,754.4438","1,907.5267","1,770.5107","1,773.0293","1,816.3854","2,061.4951","2,624.5327","2,648.6468","2,628.5416","2,652.8048","2,580.9160","2,864.2559","2,728.0371","2,617.3002","2,594.8391","2,103.1878","1,994.1838","2,149.2410","1,944.3934","2,075.5411","1,141.4052","1,170.1099","1,142.9557","1,159.1255","1,156.4727","1,171.3296","1,148.4038","1,157.5496","1,128.3460","1,172.7776","1,176.5673","1,196.8669","1,148.8406","1,207.1582","1,206.4205","1,130.2610","1,234.9234","1,270.5381","1,169.7912","1,202.8677","1,206.5101","1,053.1924","1,049.0549","1,151.0619","1,114.2885"
002131.SZ,0.0000,"19,262.9847","19,257.8750","16,044.6166","12,722.9931","13,625.6558","13,322.5673","14,124.5620","13,947.8597","13,830.6498","14,174.5578","16,270.4559","16,697.7221","16,083.3229","13,344.2314","13,040.7084","12,215.5229","11,338.1171","11,252.6899","10,784.3826","9,013.6391","8,429.7163","8,400.0276","4,504.9532","4,403.3128","4,073.1284","4,201.4080","3,499.6002","3,589.7038","2,720.6257","2,843.4150","2,239.0763","2,325.1037","2,294.5635","2,214.7300","2,032.7502","2,095.4451","2,199.2843","1,818.4987","1,188.2649","1,197.0446","1,165.8178","1,055.0851",887.4180,962.7387,839.7446,748.6037,692.2007,686.6819,715.4591
002137.SZ,0.0000,"1,936.9852","1,914.9067","1,890.1384","1,887.5985","1,848.0889","1,823.7250","1,801.7595","1,803.7331","1,665.5193","1,694.2086","2,181.4137","2,195.0871","2,097.1276","2,132.3300","1,953.3216","1,937.2820","1,895.1961","1,903.7302","1,960.6477","1,922.4244","1,819.0198","1,333.0325",622.5467,641.5280,650.9763,663.9146,685.0695,704.1178,738.9030,869.7536,971.8740,901.8356,856.1929,883.9881,996.0568,"1,045.0298","1,094.8002","1,164.4824","1,327.2786","1,218.1524","1,164.1741","1,292.8152","1,067.9975","1,075.8369",957.8958,755.8926,795.0549,700.8216,951.4686
002247.SZ,0.0000,991.3658,"1,018.0770","1,089.9467","1,009.2004","1,424.2712","1,716.2717","3,149.8224","3,267.5113","3,229.6510","3,128.2310","6,741.0393","6,736.8494","6,400.0607","5,826.3773","5,544.4007","5,242.3515","5,121.9963","4,987.4966","5,014.9882","5,304.4491","1,320.5717","1,333.7990","1,332.7475","1,274.6394","1,211.4025","1,229.9707","1,248.6441","1,167.6951","1,110.7053","1,118.6371","1,113.4426","1,083.3579","1,026.6121",699.5370,707.6760,679.3964,618.1480,617.1925,601.7833,579.4631,557.6189,546.6535,542.5393,573.3509,564.3033,531.8983,519.7486,496.9660,467.4552
002291.SZ,0.0000,"5,650.4228","5,402.5416","5,308.7593","5,303.0173","5,237.0454","5,291.4122","5,071.2661","5,047.0678","5,134.4297","3,072.6580","3,149.6926","3,095.8936","3,320.3836","3,183.6094","3,583.0303","3,582.6368","3,517.5596","2,986.8305","3,011.3453","3,040.3072","3,057.3109","3,027.5847","2,996.3219","3,295.2176","2,948.2462","2,823.4713","2,754.4720","2,845.5369","2,859.0223","2,865.3533","2,736.5443","2,617.6475","2,674.9668","2,652.6642","2,275.5062","2,358.2653","2,171.8817","2,044.0552","1,896.2361","1,981.4493","1,947.5373","1,799.3310","1,723.3945","1,766.1089","1,801.7071","1,806.4810","1,671.8510",785.3649,0.0000
