Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
000038.SZ,"1,463.3332","1,525.1905","1,747.7525","1,714.7826","1,705.5210","2,366.5522","1,891.9258","2,411.5867","2,462.6171","2,421.2126","2,631.7876","3,275.8315","3,089.1757","3,149.5183","3,257.8627","2,991.0396","3,356.5250","3,369.8100","3,535.5160","3,679.5733","4,127.1649","1,267.3611",735.1320,681.0785,623.0003,638.9234,674.4060,709.2857,667.0322,672.3188,674.7508,625.9651,615.7595,616.5612,606.2648,679.7968,650.5765,641.9717,628.1636,615.1743,537.5094,512.8368,516.3811,445.2313,433.4407,445.8197,475.3741,361.4415,306.5806,351.1463
000607.SZ,0.0000,"1,201.1339","1,413.4636","1,377.7087","1,719.9134","1,521.1895","1,588.1588","1,892.0304","1,774.9192","1,675.7566","1,557.1417","1,444.1150","1,463.7872","1,567.7901","1,598.1490","1,582.7254","1,404.4794","1,458.1908","1,492.5131","1,381.4621","1,261.7572","1,433.5774","1,512.7553","1,232.7593","1,360.1997","1,420.1633","1,485.3885","1,734.4008","1,409.1512","1,268.8755","1,338.7828","1,350.5114","1,288.2566","1,192.9863","1,368.8989","1,328.0645",958.2546,928.3114,"1,017.9031",974.2087,851.3496,915.7170,935.7851,994.8793,"1,110.9833",993.9035,"1,183.2271","1,439.7596","1,411.5965","1,372.3766"
000676.SZ,0.0000,"4,027.2837","4,090.4470","5,071.0667","5,201.8877","5,771.0584","5,004.0341","5,344.9734","4,876.2839","5,364.5845","4,364.4635","4,659.5201","4,104.6380","4,370.3335","3,980.5597","4,365.2402","3,740.1313","3,572.7784","3,307.0302","3,321.0967","3,270.4305",206.5563,197.0174,310.6293,264.4711,311.1014,363.6025,427.0836,403.5635,420.2775,446.8458,510.6027,474.5900,454.3563,476.8182,541.8944,588.8645,663.6707,604.9573,828.1117,810.7741,747.3932,807.0014,734.4888,798.5670,884.5202,898.0984,874.4884,886.1716,886.3513
000917.SZ,0.0000,"6,707.6130","7,476.2183","8,053.1010","8,158.9769","7,975.9695","8,335.1453","7,475.9560","8,162.0232","8,863.2849","9,064.6328","9,422.5953","8,838.4027","8,881.5338","8,933.4807","7,962.0041","7,875.3757","7,996.6393","7,492.2373","7,523.2885","7,471.1742","6,591.3129","6,792.2633","5,823.6051","5,570.0067","4,832.9370","5,068.9340","4,629.5476","4,514.0524","5,296.2065","7,396.7884","4,587.2277","4,729.5828","4,765.1784","4,766.6197","4,528.8085","4,595.7997","4,406.8087","4,017.6718","4,139.4458","4,207.3967","3,982.6741","4,873.9673","3,887.6070","3,824.9657","3,720.0290","3,836.9919","3,255.9798","3,249.9483","3,199.1983"
002027.SZ,0.0000,"11,142.0062","11,289.1078","12,906.9439","12,223.6664","11,345.6452","11,510.6283","10,508.0973","11,123.9114","11,003.7849","12,034.2036","12,143.6722","12,195.0138","11,051.7293","11,164.3193","9,967.2502","12,070.7242","10,443.9741","9,871.6628","7,996.6560","7,023.0446","11,445.1610","11,130.0997",165.8739,141.7142,128.9249,129.2701,140.2861,152.2687,170.3725,244.2305,430.9540,465.3814,467.6227,486.1652,460.4566,469.4350,448.9319,535.7700,611.2671,617.6145,670.1275,683.7081,789.6303,878.7002,850.2138,841.1562,835.5947,817.2745,760.0219
002103.SZ,0.0000,"1,060.1163","1,176.5664","1,157.7971","1,121.3735","1,135.8437","1,299.2690","1,165.2235","1,193.9981","1,242.0440","1,496.0502","1,281.8057","1,300.8690","1,275.0072","1,292.9244","1,013.8745","1,008.2202",870.1918,766.0105,740.4610,825.6269,711.8518,857.8675,711.6020,845.7953,648.6228,678.2805,644.6100,630.3320,621.0211,637.2128,616.2410,626.7317,596.9277,637.8481,639.4806,661.1702,613.1615,664.2028,657.1375,582.8253,685.0068,714.8728,563.2277,641.8892,640.0726,486.0453,495.1281,606.7828,598.2744
002131.SZ,0.0000,"7,902.3432","7,547.7987","6,770.5016","7,551.9296","8,429.6168","8,208.1866","8,713.3433","8,603.5043","9,665.8632","8,757.5985","8,927.4905","9,577.1236","9,037.7945","6,378.1982","6,044.6407","5,400.3063","4,637.5080","4,580.1373","4,404.9639","3,617.8015","3,458.3077","3,535.2499","2,435.5180","2,391.8173","2,180.1793","2,321.9006","2,024.7727","2,113.1139","1,717.3356","1,685.5144","1,217.7298","1,290.2322","1,255.7291","1,155.2559","1,041.3558","1,096.4824","1,197.7872",964.8839,568.7721,612.2620,625.9791,538.8363,444.8698,561.4277,451.4064,367.2394,325.1992,340.0397,374.7397
002137.SZ,0.0000,962.7682,941.3182,927.0195,995.3518,965.1837,952.3625,948.5958,"1,000.4408",987.4980,"1,037.5589","1,151.2446","1,223.8174","1,158.8465","1,125.5028","1,026.7015","1,005.9512",957.4729,960.3467,"1,004.7045","1,055.7924",923.8608,428.2387,284.2547,308.4548,334.3934,356.8621,361.6909,387.6445,417.4250,548.6889,600.6861,512.5355,462.1821,487.1019,602.3942,688.0442,733.0625,794.3466,946.8898,880.0172,837.0290,958.5363,735.7611,753.4487,633.4468,433.4569,468.9384,389.1293,644.2718
002247.SZ,0.0000,552.2144,573.0456,642.3086,561.5039,748.6380,"1,038.0753","2,243.4024","2,365.7314","2,332.4959","2,231.8486","2,844.7488","2,817.1622","2,501.4738","2,181.7336","1,961.5593","1,651.5345","1,540.0012","1,415.6858","1,486.8387","1,750.0352",850.1137,876.8086,871.4771,808.3839,743.6338,764.3058,791.7061,709.2960,661.5119,673.8800,674.3591,647.5166,605.7204,292.3697,328.4556,314.7533,268.6182,271.2884,307.4095,321.0574,303.7808,308.2277,307.9450,342.8992,344.5690,355.7984,342.3314,322.4470,321.5262
002291.SZ,0.0000,"3,112.6916","2,968.1902","3,044.2556","3,037.2735","3,020.5833","3,060.9177","2,814.1605","2,783.3918","2,863.5298","2,414.3292","2,472.0701","2,407.9993","2,627.3098","2,491.0804","2,710.0300","2,715.9570","2,650.7134","2,503.0252","2,561.8833","2,592.3651","2,608.2301","2,574.7154","2,551.6587","2,865.5336","2,511.5894","2,381.6101","2,332.4760","2,417.1702","2,421.1473","2,416.2446","2,297.2477","2,171.2502","2,232.5949","2,213.2815","2,032.9093","2,124.2801","1,947.4218","1,821.6197","1,679.5348","1,765.2997","1,733.9464","1,586.2330","1,508.9252","1,605.0106","1,698.9555","1,713.6959","1,591.1365",705.5590,0.0000
002400.SZ,0.0000,"4,579.2874","5,541.3572","4,831.6124","4,321.8542","5,537.7681","5,100.1561","5,233.1024","5,295.6194","5,380.4671","5,244.3531","4,908.8220","5,738.4356","5,761.9728","5,923.3334","6,126.5715","6,444.3002","6,733.8966","7,103.5409","6,436.2516","5,153.4639","5,201.1932","5,254.3362","4,736.3030","4,358.9140","4,545.0456","3,746.0377","2,749.1796","2,611.0319","2,686.0744","2,633.8543","2,784.5660","2,689.0738","2,551.0784","2,292.0559","2,301.8509","2,119.6600","1,930.6697","1,899.9509","1,849.0669","1,823.3181","1,609.2866","1,674.6812","1,566.6711","1,584.1451",695.5844,560.8286,0.0000,509.7142,0.0000
002712.SZ,0.0000,"2,065.2446","2,096.6839","2,092.6683","1,903.4419","2,150.9734","2,632.0328","2,517.7151","2,609.7310","2,572.9397","2,383.5058","2,905.6764","2,881.8063","3,010.4925","2,898.1440","2,335.6397","2,020.0590","1,823.2200","1,791.1848","1,780.0273","1,713.1196","1,326.4789","1,255.6150","1,236.5327","1,219.0441","1,141.5065","1,161.6336","1,102.9827",971.9591,985.8130,778.0069,659.9808,575.4609,0.0000,553.8689,0.0000,0.0000,0.0000,499.8234,0.0000,0.0000,0.0000,427.6733,0.0000,0.0000,0.0000,349.3022,0.0000,0.0000,0.0000
002878.SZ,"1,064.3208","1,080.4695","1,220.2015","1,006.1957","1,059.4966",975.7256,"1,090.8364",902.5473,811.8019,807.4078,787.9424,692.3519,692.9731,687.4920,689.0959,615.4456,609.1467,356.3015,459.5321,0.0000,0.0000,0.0000,341.2938,0.0000,0.0000,0.0000,288.6861,0.0000,0.0000,0.0000,311.6166,0.0000,0.0000,0.0000,351.8923,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
002995.SZ,0.0000,"1,597.7733","1,549.6656","1,638.6693",873.2716,749.5120,741.4379,0.0000,641.8363,0.0000,640.3178,0.0000,0.0000,0.0000,324.8587,0.0000,266.4520,0.0000,228.1812,0.0000,0.0000,0.0000,134.6502,0.0000,0.0000,0.0000,114.8534,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
