Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
000038.SZ,337.9599,316.0061,328.6905,286.1825,297.3582,256.0254,163.2321,316.8776,365.7171,423.8701,400.0786,440.3583,352.1111,261.1271,350.5776,244.9748,707.4317,825.3839,"1,127.6635","1,164.8764","1,584.8034","1,498.2488",589.9258,531.3061,475.8512,492.0435,527.0482,516.6595,470.3325,475.7646,477.1708,435.8694,427.1888,424.6489,414.5476,439.8514,417.3534,406.0267,389.6431,397.3940,355.5598,285.5857,283.5948,220.7716,157.4591,167.2432,203.6333,143.7220,143.7162,186.8529
000607.SZ,0.0000,"1,446.8809","1,449.1603","1,598.4725","1,622.5475","1,380.5328","1,372.9442","1,305.0543","1,410.2922","1,371.0062","1,092.8686","1,018.0532","1,015.7072","1,074.0778","1,144.8383",916.7632,920.1211,898.2326,961.9952,899.4439,891.4905,595.9084,679.6505,579.5447,654.0789,527.7077,623.4921,"1,693.2856","1,419.9042","1,313.7661","1,374.0248","1,395.5042","1,337.1686","1,279.4949","1,450.0090","1,448.7987","1,141.5768","1,127.0655","1,236.2505","1,233.7893","1,137.7878","1,160.5946","1,172.3707",995.6261,"1,060.8478",946.4723,"1,207.9033","1,421.7788","1,435.9771","1,363.0010"
000676.SZ,0.0000,"2,176.5266","2,121.5720","2,507.7268","2,559.2271","3,186.3032","2,548.2870","2,344.9880","2,046.8054","2,706.4567","2,013.0651","2,069.1261","1,668.9432","1,815.5782","1,559.9311","1,934.3663","1,209.3009","1,412.8663","1,147.4010","1,806.4546","1,480.1355",169.7627,153.8240,410.4519,371.7848,401.7556,453.3051,472.1617,440.6413,446.7709,468.0911,557.7994,529.0310,527.5428,570.4213,572.8166,577.4873,619.9160,556.4159,692.0030,690.3900,567.1200,663.9336,555.2555,633.3537,945.0240,977.6208,927.7413,899.0555,892.8923
000917.SZ,0.0000,"5,313.9710","4,709.1961","5,996.8183","5,184.0279","4,549.3753","5,312.1135","4,511.8533","6,258.3166","6,754.6742","7,025.0092","6,664.6947","5,702.7888","5,562.8051","7,356.2940","5,082.6228","5,289.3639","5,067.9239","4,997.8662","4,120.3526","4,151.8461","5,152.0419","5,538.1249","4,125.4364","3,939.1419","3,511.1611","3,754.7072","2,292.0515","1,800.3768","1,550.5062","3,273.5952","3,507.4619","3,805.2439","3,567.2583","3,744.8067","3,567.3820","3,346.5823","2,684.9643","2,966.5403","2,111.6138","2,171.2649","2,287.6259","3,254.2784","2,531.6765","2,654.3438","2,774.9210","3,180.3406","3,150.9204","3,578.2371","3,976.7605"
002027.SZ,0.0000,"4,861.2722","4,148.3165","3,958.0201","4,675.5806","3,427.5512","3,670.8519","3,008.1350","4,237.7424","2,732.2746","3,527.2689","3,617.1541","3,649.3521","2,902.0995","3,915.2830","4,046.1362","7,362.8715","3,547.3389","3,904.4453","3,080.8568","3,163.5434","7,367.3048","7,722.3055",127.9670,104.0202,93.1879,95.3690,106.3860,93.1051,111.4031,194.9602,315.0019,313.0448,325.6781,282.0501,205.0656,228.0683,228.7712,309.2436,302.0881,312.0743,360.6612,379.3236,379.9203,474.6150,454.8752,438.0108,356.7202,342.6221,290.6060
002103.SZ,0.0000,722.6921,893.4038,754.7911,728.9653,741.4271,880.6034,731.9812,745.8787,788.5521,"1,046.2897",884.3477,908.9301,828.6399,747.2088,695.7453,"1,001.6196",862.3867,900.3281,931.9820,477.7370,347.9052,515.7074,341.0325,501.8698,386.0912,418.1433,390.1557,211.4655,202.0886,214.6273,192.9804,408.0469,372.6931,419.5344,432.0934,268.8926,204.3887,266.4334,275.2293,414.0492,497.8820,542.2252,461.1406,363.2515,347.4835,348.4223,376.3846,493.0984,447.5080
002131.SZ,0.0000,"4,549.5067","4,477.9669","3,384.1126","3,903.2741","4,940.2903","4,715.6026","5,413.6986","5,313.7400","5,260.1695","5,649.3288","5,727.8345","6,278.7878","5,613.0259","5,161.8823","4,574.8177","3,845.8599","3,208.1935","3,290.6749","2,627.8084","2,397.9166","1,918.4415","2,028.7965","1,686.9021","1,808.1894","1,539.6363","1,815.3570","1,428.4676","1,539.3176",942.6515,962.2155,989.1078,"1,071.4666","1,059.3476","1,001.6970",823.8716,883.4108,"1,004.6615",672.8410,386.7229,415.5999,468.7501,383.0283,247.0689,354.1356,266.7098,185.7232,156.3745,167.1329,177.8237
002137.SZ,0.0000,361.2788,349.8661,313.0448,314.9847,304.5393,303.7002,248.0697,240.6255,232.9058,291.4710,356.7077,395.0627,330.6425,375.1134,235.7230,250.8866,230.3222,266.4824,332.1579,304.3220,311.8078,418.2800,107.1660,126.3690,139.2783,151.3756,167.6107,192.0857,236.2874,365.1054,360.2603,374.3699,303.7463,333.0997,453.3742,503.9941,564.2652,619.1066,783.4449,678.7544,655.4774,797.9911,574.4162,563.0878,455.7311,261.4040,276.4161,190.3958,417.2170
002247.SZ,0.0000,328.6173,341.4594,315.7748,248.3426,901.0148,"1,179.2010","1,049.3631","1,115.0439","1,081.8371","1,015.8269","1,307.7445","1,342.8521","1,176.4682",841.2882,699.7293,530.4505,444.5879,391.9085,548.6568,962.1120,194.0841,217.7326,231.1118,202.1845,149.4872,186.8603,248.1444,221.9151,178.2093,196.5428,217.1056,210.3592,163.5120,159.8419,186.4880,175.2423,121.0627,126.2377,123.6731,128.5952,89.4410,82.1532,89.6797,129.0353,121.0764,94.2889,94.9180,82.0699,60.2886
002291.SZ,0.0000,"2,103.9083","2,005.7381","2,020.2557","1,970.0577","1,813.4091","1,838.2477","1,818.9232","1,841.6176","1,969.8050","1,313.1680","1,338.8868","1,261.7050","1,328.2303","1,436.3624","1,469.2026","1,467.2546","1,414.8342","1,140.8030","1,171.0290","1,197.1755","1,184.3919","1,164.0226","1,130.8906","1,315.0778","1,157.5631","1,045.1428",929.2080,978.8418,"1,032.3319","1,055.3131",934.9907,879.2184,953.3735,946.3307,696.1170,773.2522,572.9309,470.1936,378.4566,462.0769,459.6894,337.0839,306.2914,347.1658,479.9310,437.0266,348.0693,383.5857,0.0000
002400.SZ,0.0000,"2,437.1453","3,400.5548","2,908.5582","2,195.7769","3,392.2042","2,952.9983","3,343.0300","3,382.4204","3,338.3080","3,221.4897","3,038.2063","3,767.9379","3,653.1120","3,854.1597","3,546.6697","3,294.4490","3,553.1591","3,949.1571","3,416.6412","4,179.6909","4,115.1224","4,042.2511","3,404.5604","3,036.4821","2,720.8156","2,161.7000","1,407.1617","1,219.1449","1,243.1285","1,265.9082","1,549.0701","1,464.7706","1,342.9805","1,125.4896","1,229.3204","1,063.1922",842.2199,844.1698,828.7717,838.8888,683.4445,711.9841,622.8087,660.9302,565.2326,449.6543,0.0000,426.8431,0.0000
