Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
000038.SZ,"2,896.6524","2,885.4646","2,869.0301","2,850.6413","2,828.9484","2,776.7495","2,755.4936","2,636.0209","2,644.0182","2,637.4101","2,633.1138","5,402.7988","5,301.8363","5,443.8206","5,391.8459","5,300.3922","5,218.3865","5,161.3549","5,067.1738","4,908.2852","4,887.7101","2,115.3458",115.7655,110.9413,108.9358,109.2811,109.8316,144.4079,148.2552,158.3090,159.1649,151.8129,150.7250,156.8094,156.5904,156.3773,149.7154,152.1634,154.5124,155.0797,143.6552,148.5977,152.4212,136.7786,139.2595,130.5680,124.8015,99.0986,67.1298,68.5337
000607.SZ,0.0000,"1,367.7608","1,360.4339","1,655.8646","1,644.0992","1,623.1808","1,660.8167","1,725.8693","1,709.4618","1,656.5461","1,890.5485","1,845.9759","1,819.0392","1,787.0673","1,800.1601","1,834.5493","1,797.7373","1,749.6644","1,766.7133","1,670.3462","1,591.9896","1,524.7516","1,539.6733","1,389.0607","1,333.0677","1,262.0032","1,261.7633",380.2871,375.9826,359.4571,370.5523,375.7575,370.6236,350.7661,360.9370,350.3922,347.1643,342.6033,339.2890,335.7888,315.7471,288.4618,309.9819,418.5822,463.4487,486.6735,490.6432,564.4933,574.8049,574.5093
000676.SZ,0.0000,"3,789.5555","3,694.9237","6,610.6013","6,739.1526","6,617.8052","6,666.8245","6,477.4164","6,245.8669","6,028.8232","5,863.1327","5,730.5214","5,500.9011","5,195.7728","5,052.7352","4,881.0726","4,798.7725","4,724.9079","4,607.8506","4,419.3604","4,344.0536",137.8302,144.6135,124.8700,120.9824,136.8758,141.9811,188.2095,193.8073,202.3583,210.5709,191.8624,164.1135,151.0821,172.5984,265.4610,287.0577,304.0017,309.3041,374.3687,371.0243,386.2101,388.7171,349.7528,358.2880,344.5345,348.7695,401.1489,424.3041,431.2052
000917.SZ,0.0000,"10,095.8325","10,195.9229","10,514.4711","10,782.6648","10,908.4991","11,054.5343","10,459.4524","10,219.0652","10,121.1334","10,109.2957","9,833.2185","9,944.6987","9,931.6635","9,987.7754","10,750.8431","10,987.7488","11,040.4405","10,991.9138","10,746.3086","10,802.5690","10,559.6567","10,722.2155","10,471.1841","10,063.7639","9,946.8325","9,759.5350","9,776.9841","9,739.2938","9,676.6090","9,508.3567","4,373.7372","4,228.5906","4,221.5755","4,039.7560","3,884.7710","3,003.4919","2,811.9091","2,747.9530","2,865.5187","2,820.9792","2,722.1072","2,885.5320","2,008.0752","1,979.2424","2,081.3535","1,953.7331","1,688.9639","1,682.5731","1,677.1022"
002027.SZ,0.0000,"18,462.8942","17,016.9863","15,177.1332","13,649.4192","13,876.3129","13,778.4088","13,471.4605","12,800.5060","14,096.3196","14,201.1411","13,529.2678","12,502.9561","11,574.6542","10,372.5744","8,296.0824","6,918.3263","9,065.6032","7,990.9262","6,664.6186","5,415.6320","5,248.1618","4,598.7311",492.6986,495.6564,496.4592,495.4034,489.8386,489.5107,486.6839,488.8121,573.0942,593.5107,604.5048,612.5741,606.6819,595.2686,595.4707,604.3676,660.9168,661.1313,660.2863,659.2203,651.6513,650.9676,646.9130,645.9399,715.5605,715.3123,714.8600
002103.SZ,0.0000,795.7458,788.0221,"1,033.1370","1,013.9660","1,012.9512","1,026.7346","1,037.7266","1,026.3872","1,026.6965","1,013.6881","1,734.7693","1,733.5951","1,793.4116","1,778.1233","1,756.4697","1,731.8627","1,734.5356","1,705.7700","1,651.4078","1,613.6441","1,632.6659","1,620.4567","1,590.4166","1,561.9018",743.0187,739.5684,739.9429,735.9654,742.4032,741.1884,737.0910,731.5995,738.2172,735.7453,727.0014,710.5697,725.5449,721.0156,712.8830,698.4166,719.1622,710.4974,690.6555,672.1130,691.7736,683.3088,663.0611,645.0542,654.5380
002131.SZ,0.0000,"12,463.3143","12,977.2518","11,290.5031","8,464.5239","8,324.9050","8,132.6315","8,088.8904","8,011.4227","7,835.4504","6,887.7011","8,339.2002","8,255.3985","8,250.6841","7,596.2243","7,674.5054","7,640.0272","7,532.9100","7,370.4883","7,490.0260","5,952.1567","5,858.3125","5,723.7843","2,157.3388","2,140.2156","2,079.6322","2,003.7358","1,637.0099","1,619.8361","1,603.4983","1,512.2947","1,101.7889","1,103.3837","1,084.3124","1,062.9535","1,055.9582","1,058.2943","1,052.8582","1,018.7643",719.5427,700.1201,667.6089,643.0474,616.3307,585.9188,552.5378,531.6969,505.4829,489.6345,506.3102
002137.SZ,0.0000,"1,464.3563","1,451.4074","1,471.0230","1,468.0332","1,448.9791","1,427.5164","1,477.0427","1,481.9321","1,394.5769","1,359.4904","1,786.5948","1,765.3555","1,730.8047","1,714.0361","1,682.0581","1,655.0407","1,634.9234","1,609.2409","1,600.0463","1,590.4439","1,482.3671",898.0920,503.8324,503.9366,500.5931,500.1725,498.6325,491.6706,482.0439,483.6826,599.0838,514.3087,538.9661,536.9925,528.9600,526.6935,515.6664,530.0611,527.5501,524.0165,508.6967,494.8241,493.5813,512.7491,502.1647,494.4885,498.4508,490.5577,511.3628
002247.SZ,0.0000,620.9922,607.3814,606.9738,582.4019,417.6441,441.1949,"2,016.7850","2,068.1193","2,060.3426","2,024.4354","5,341.4971","5,302.7549","5,219.5316","4,981.0280","4,834.2178","4,701.2058","4,666.4529","4,584.6326","4,448.8418","4,299.4743","1,076.9895","1,060.2494","1,045.1487","1,016.3993","1,006.3822",987.2685,973.7829,919.2700,906.3367,895.9051,869.2561,845.7801,835.7248,512.1993,494.1912,477.4303,470.6573,464.5705,453.0233,441.6601,459.9701,454.8827,443.5004,435.0089,434.0064,428.3595,416.8079,406.7385,400.1824
002291.SZ,0.0000,"3,385.3407","3,326.3646","3,216.8404","3,256.6847","3,307.9727","3,358.2271","2,956.4923","2,912.3752","2,874.1873","1,491.9626","1,509.3194","1,521.0381","1,510.2939","1,487.3269","1,856.7542","1,859.7377","1,848.7954","1,837.2496","1,831.4227","1,834.0902","1,823.2500","1,813.9978","1,815.2017","1,855.3600","1,666.7683","1,654.5253","1,627.9449","1,632.4513","1,637.5276","1,620.2320","1,612.6432","1,617.2561","1,602.3145","1,586.2105","1,572.1641","1,577.9777","1,591.8787","1,566.7120","1,517.6443","1,519.2352","1,487.7334","1,462.0982","1,416.9789","1,418.8152","1,321.6653","1,369.3222","1,323.6658",381.6654,0.0000
