Code,2021/7/31,2021/6/30,2021/5/31,2021/4/30,2021/3/31,2021/2/28,2021/1/31,2020/12/31,2020/11/30,2020/10/31,2020/9/30,2020/8/31,2020/7/31,2020/6/30,2020/5/31,2020/4/30,2020/3/31,2020/2/29,2020/1/31,2019/12/31,2019/11/30,2019/10/31,2019/9/30,2019/8/31,2019/7/31,2019/6/30,2019/5/31,2019/4/30,2019/3/31,2019/2/28,2019/1/31,2018/12/31,2018/11/30,2018/10/31,2018/9/30,2018/8/31,2018/7/31,2018/6/30,2018/5/31,2018/4/30,2018/3/31,2018/2/28,2018/1/31,2017/12/31,2017/11/30,2017/10/31,2017/9/30,2017/8/31,2017/7/31,2017/6/30,2017/5/31,2017/4/30,2017/3/31,2017/2/28,2017/1/31,2016/12/31,2016/11/30,2016/10/31,2016/9/30,2016/8/31,2016/7/31,2016/6/30,2016/5/31,2016/4/30,2016/3/31,2016/2/29,2016/1/31,2015/12/31,2015/11/30,2015/10/31,2015/9/30,2015/8/31,2015/7/31,2015/6/30,2015/5/31,2015/4/30,2015/3/31,2015/2/28,2015/1/31,2014/12/31,2014/11/30,2014/10/31,2014/9/30,2014/8/31,2014/7/31,2014/6/30,2014/5/31,2014/4/30,2014/3/31,2014/2/28,2014/1/31,2013/12/31,2013/11/30,2013/10/31,2013/9/30,2013/8/31,2013/7/31,2013/6/30,2013/5/31,2013/4/30,2013/3/31,2013/2/28,2013/1/31,2012/12/31,2012/11/30,2012/10/31,2012/9/30,2012/8/31,2012/7/31,2012/6/30,2012/5/31,2012/4/30,2012/3/31,2012/2/29,2012/1/31,2011/12/31,2011/11/30,2011/10/31,2011/9/30,2011/8/31,2011/7/31,2011/6/30,2011/5/31,2011/4/30,2011/3/31,2011/2/28,2011/1/31,2010/12/31,2010/11/30,2010/10/31,2010/9/30,2010/8/31,2010/7/31,2010/6/30,2010/5/31,2010/4/30,2010/3/31,2010/2/28,2010/1/31
000038.SZ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,7.60 ,7.60 ,6.60 ,6.60 ,6.60 ,6.60 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
000607.SZ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.00 ,12.98 ,12.98 ,12.98 ,12.98 ,12.98 ,13.17 ,16.85 ,16.85 ,18.30 ,18.30 ,16.47 ,16.47 ,17.08 ,16.34 ,15.77 ,15.77 ,16.06 ,15.29 ,15.24 ,14.22 ,14.22 ,14.25 ,14.25 ,14.25 ,14.48 ,14.48 ,14.48 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
000676.SZ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.10 ,8.10 ,8.10 ,8.10 ,8.10 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,15.21 ,14.19 ,14.19 ,14.19 ,14.34 ,14.30 ,14.48 ,14.48 ,14.48 ,13.82 ,14.46 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11.00 ,8.96 ,8.96 ,8.96 ,8.96 ,6.92 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
000917.SZ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.39 ,5.39 ,5.18 ,4.50 ,4.62 ,4.62 ,4.62 ,4.62 ,5.33 ,5.33 ,5.55 ,4.95 ,3.75 ,3.75 ,6.17 ,5.93 ,5.93 ,5.93 ,5.93 ,5.75 ,5.73 ,5.40 ,5.40 ,5.40 ,5.90 ,5.90 ,6.90 ,5.39 ,5.39 ,5.39 ,6.07 ,6.07 ,6.07 ,0.00 ,0.00 ,0.00 ,0.00 ,8.00 ,8.00 ,10.56 ,10.56 ,10.56 ,10.56 ,15.11 ,16.34 ,14.82 ,14.82 ,14.68 ,14.68 ,14.05 ,14.05 ,13.32 ,13.32 ,13.17 ,13.17 ,12.07 ,12.07 ,10.43 ,10.43 ,10.97 ,13.02 ,13.02 ,14.02 ,21.98 ,21.34 ,19.92 ,19.07 ,19.07 ,19.07 ,17.77 ,17.85 ,18.06 ,15.11 ,14.46 ,12.91 ,6.96 ,6.96 ,6.96 ,5.35 ,4.37 ,4.37 ,4.00 ,4.00 ,5.66 ,5.66 ,5.66 ,6.73 ,8.07 ,4.42 ,4.79 
002027.SZ,26.33 ,26.33 ,26.23 ,26.26 ,25.52 ,21.99 ,21.96 ,21.57 ,20.16 ,19.60 ,13.89 ,14.00 ,12.07 ,11.80 ,11.68 ,12.52 ,20.53 ,20.91 ,13.99 ,13.97 ,13.84 ,14.04 ,13.97 ,14.56 ,21.26 ,22.62 ,22.89 ,24.84 ,30.02 ,29.96 ,37.67 ,37.08 ,37.08 ,37.45 ,37.45 ,38.06 ,38.41 ,40.20 ,40.20 ,41.03 ,42.03 ,38.61 ,41.97 ,41.94 ,41.94 ,42.01 ,42.51 ,42.51 ,42.91 ,43.34 ,43.54 ,38.64 ,30.85 ,30.20 ,41.49 ,41.49 ,41.49 ,41.49 ,41.49 ,41.81 ,34.28 ,41.31 ,37.00 ,49.60 ,0.00 ,45.00 ,43.00 ,43.00 ,43.00 ,43.00 ,43.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
002103.SZ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.60 ,9.20 ,9.20 ,7.88 ,7.98 ,7.98 ,7.98 ,7.98 ,11.52 ,13.52 ,18.73 ,19.50 ,19.50 ,19.50 ,16.97 ,6.40 ,6.40 ,6.40 ,6.40 ,6.40 ,6.40 ,6.40 ,6.10 ,8.65 ,8.65 ,11.25 ,11.25 ,5.30 ,2.30 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,11.10 
002131.SZ,0.00 ,0.00 ,0.00 ,0.00 ,28.98 ,28.98 ,28.98 ,28.98 ,28.98 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,5.50 ,5.50 ,3.30 ,3.30 ,3.30 ,3.30 ,6.40 ,6.40 ,7.90 ,7.90 ,7.90 ,7.90 ,9.50 ,10.37 ,8.69 ,8.69 ,8.69 ,8.69 ,9.44 ,9.43 ,9.62 ,10.05 ,10.05 ,10.05 ,11.09 ,11.44 ,9.34 ,9.37 ,10.05 ,10.18 ,11.00 ,11.16 ,11.79 ,11.80 ,11.99 ,13.04 ,16.83 ,12.95 ,7.64 ,10.88 ,12.45 ,14.17 ,15.36 ,15.36 ,18.07 ,18.26 ,16.88 ,16.15 ,16.15 ,16.15 ,10.81 ,10.45 ,9.67 ,9.39 ,10.87 ,10.15 ,9.70 ,8.20 ,8.20 ,8.20 ,8.20 ,0.00 ,8.30 ,8.30 ,8.30 ,8.30 ,8.30 ,8.30 ,8.20 ,8.20 ,8.20 ,8.20 ,6.30 ,7.30 ,8.00 ,9.83 ,9.83 ,9.88 ,10.58 ,10.58 ,13.40 ,13.37 ,13.37 ,13.37 ,14.03 ,13.10 ,15.10 ,17.75 ,18.67 ,18.67 ,20.29 ,19.24 ,20.52 ,20.45 ,20.45 ,20.45 ,19.75 ,20.32 ,19.09 ,19.09 ,19.09 ,19.09 ,19.13 ,19.13 ,19.19 ,20.15 ,20.15 ,20.15 ,21.85 ,21.85 ,19.52 
002137.SZ,4.70 ,4.70 ,4.70 ,4.70 ,2.60 ,6.82 ,8.66 ,8.66 ,8.66 ,8.66 ,8.66 ,10.50 ,0.00 ,0.00 ,0.00 ,13.32 ,11.16 ,11.16 ,8.74 ,8.74 ,8.10 ,8.10 ,8.19 ,8.19 ,8.32 ,8.32 ,8.32 ,8.32 ,8.60 ,0.00 ,7.05 ,7.05 ,7.24 ,7.24 ,7.24 ,7.24 ,7.27 ,7.27 ,6.90 ,6.90 ,6.90 ,5.70 ,5.90 ,5.90 ,5.90 ,5.90 ,6.55 ,6.13 ,6.23 ,6.23 ,6.23 ,6.23 ,6.23 ,9.20 ,11.50 ,11.50 ,11.50 ,12.27 ,12.03 ,12.03 ,14.24 ,14.24 ,16.71 ,18.91 ,18.91 ,23.24 ,4.73 ,5.04 ,6.21 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 
002247.SZ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,13.40 ,13.40 ,13.40 ,13.40 ,13.40 ,13.40 ,13.40 ,13.40 ,13.40 ,13.40 ,12.58 ,12.45 ,11.41 ,11.41 ,11.48 ,10.81 ,10.21 ,10.21 ,0.00 ,0.00 ,0.00 ,11.57 ,21.84 ,21.84 ,19.15 ,19.15 ,19.15 ,18.48 ,13.97 ,13.97 ,7.10 ,7.10 ,7.10 ,8.30 ,8.90 ,0.00 ,8.64 ,10.40 ,10.40 ,10.40 ,10.90 ,10.90 ,11.40 ,11.40 ,11.40 ,11.40 ,7.20 ,7.20 ,8.05 ,8.05 ,8.05 ,9.90 ,9.90 ,9.90 ,14.79 ,14.79 ,14.79 ,13.60 ,13.05 ,13.05 ,11.93 ,11.93 ,11.93 ,12.55 ,11.40 ,11.40 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,10.30 ,10.30 ,10.30 ,10.30 ,10.30 ,10.30 ,11.02 ,11.02 ,11.02 ,11.02 ,11.02 ,11.02 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,12.40 ,12.40 ,12.40 ,12.40 ,12.40 ,12.40 ,12.60 ,12.60 ,12.60 ,11.80 ,0.00 ,0.00 
002291.SZ,16.62 ,16.97 ,17.64 ,17.64 ,0.73 ,0.80 ,0.80 ,2.37 ,5.58 ,5.69 ,8.39 ,8.58 ,9.17 ,9.17 ,9.75 ,11.00 ,14.40 ,18.80 ,6.47 ,6.47 ,6.47 ,6.47 ,6.47 ,6.47 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,2.35 ,1.87 ,1.87 ,1.87 ,1.87 ,1.87 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,1.49 ,1.26 ,1.79 ,1.79 ,1.79 ,1.79 ,2.05 ,1.97 ,1.65 ,1.65 ,1.65 ,1.60 ,1.60 ,1.37 ,1.45 ,1.56 ,1.56 ,1.63 ,1.78 ,2.15 ,2.05 ,2.05 ,2.05 ,2.09 ,2.09 ,2.00 ,2.10 ,2.10 ,2.10 ,2.90 ,2.90 ,2.90 ,2.90 ,2.90 ,3.50 ,4.47 ,4.47 ,3.49 ,3.49 ,3.49 ,3.49 ,4.70 ,4.70 ,4.70 ,4.70 ,4.70 ,4.70 ,3.60 ,3.60 ,2.80 ,2.80 ,3.18 ,3.25 ,3.55 ,3.55 ,3.52 ,3.52 ,3.50 ,3.55 ,7.30 ,7.30 ,5.84 ,5.84 ,5.84 ,5.84 ,6.02 ,6.12 ,7.17 ,7.17 ,7.39 ,7.39 ,7.87 ,8.25 ,7.18 ,7.18 ,7.26 ,7.42 ,8.00 ,8.13 ,8.63 ,8.63 ,8.98 ,9.00 ,9.01 ,9.40 ,7.29 ,7.84 ,8.08 ,8.25 ,8.71 ,8.75 ,8.97 ,9.51 ,9.55 ,9.55 ,11.93 ,14.82 ,16.62 
