Code,2011/1/25,2011/2/25,2011/3/25,2011/4/25,2011/5/25,2011/6/25,2011/7/25,2011/8/25,2011/9/25,2011/10/25,2011/11/25,2011/12/25,2012/1/25,2012/2/25,2012/3/25,2012/4/25,2012/5/25,2012/6/25,2012/7/25,2012/8/25,2012/9/25,2012/10/25,2012/11/25,2012/12/25,2013/1/25,2013/2/25,2013/3/25,2013/4/25,2013/5/25,2013/6/25,2013/7/25,2013/8/25,2013/9/25,2013/10/25,2013/11/25,2013/12/25,2014/1/25,2014/2/25,2014/3/25,2014/4/25,2014/5/25,2014/6/25,2014/7/25,2014/8/25,2014/9/25,2014/10/25,2014/11/25,2014/12/25,2015/1/25,2015/2/25,2015/3/25,2015/4/25,2015/5/25,2015/6/25,2015/7/25,2015/8/25,2015/9/25,2015/10/25,2015/11/25,2015/12/25,2016/1/25,2016/2/25,2016/3/25,2016/4/25,2016/5/25,2016/6/25,2016/7/25,2016/8/25,2016/9/25,2016/10/25,2016/11/25,2016/12/25,2017/1/25,2017/2/25,2017/3/25,2017/4/25,2017/5/25,2017/6/25,2017/7/25,2017/8/25,2017/9/25,2017/10/25,2017/11/25,2017/12/25,2018/1/25,2018/2/25,2018/3/25,2018/4/25,2018/5/25,2018/6/25,2018/7/25,2018/8/25,2018/9/25,2018/10/25,2018/11/25,2018/12/25,2019/1/25,2019/2/25,2019/3/25,2019/4/25,2019/5/25,2019/6/25,2019/7/25,2019/8/25,2019/9/25,2019/10/25,2019/11/25,2019/12/25,2020/1/25,2020/2/25,2020/3/25,2020/4/25,2020/5/25,2020/6/25,2020/7/25,2020/8/25,2020/9/25,2020/10/25,2020/11/25,2020/12/25,2021/1/25,2021/2/25,2021/3/25,2021/4/25,2021/5/25,2021/6/25,2021/7/25,2021/8/25,2021/9/25,2021/10/25,2021/11/25,2021/12/25
000038.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.76,68.74,132.88,0,0,0,0,262.6,338.55,367.53,246.35,199.34,0,0,0,0,0,151.52,249.06,185.63,68.16,106.65,324.6,82.73,50.98,80.2,54.75,42.17,17.1,0,0,0,0,0,156.41,128.08,76.57,25.9,0,0,0,0,0,12.06,38.89,29.45,117.43,58.2,31.81,47.72,87.36,135.76,128.83,87.55,159.04,208.02,294.94,109.09,175.74,172.36,57.13,81.55,81.47,137.41,160.2,164.48,270.87,130.42,55.76,37.3,37.91,32.04,30.16,22.52,37.45,41.5,31.83,26.23,14.96,0,0,0,0,0
000607.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.21,0,0,0.1,151.91,108.7,120.72,127.48,63.83,87.78,101.8,94.89,47.44,33.03,64.62,50.72,28.47,38.1,80.96,91.85,55.15,50.6,65.41,100.86,106.31,53.49,71.3,38.38,25.25,40.96,30.27,22.91,45.42,22.8,16.01,9.2,10.95,4.67,7.65,11.84,5.58,4.37,4.3,9.07,2.82,3.22,21.06,28.61,9.64,14.45,51.13,86.89,20.17,21.78,38.16,12.28,31.45,50.62,47.3,18.4,23.85,20.97,13.67,17.32,7.24,40.24,28.95,15.16,7.98,2.72,7.18,8.41,8.58,7.85,30.13,26.1,9.96,10.1,5.64,0,0,0,0,0
000676.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.5,302.82,128.92,125.27,91.13,99.18,77.72,49.55,0.24,52.55,32.45,85.72,66.69,29.55,0,9.85,29.87,33.15,19.46,23.47,22.29,19.15,24.85,30.28,17.6,38.55,15.67,23.06,19.71,32.08,70.78,53.33,29.36,47.63,44.39,24.87,18.74,32.4,18.21,21.63,27.59,95.53,96.58,27.93,20.91,16.25,18.24,26.85,219.64,227.57,187.88,140.3,125.74,98.94,77.87,119.49,84.58,94.67,38.46,19.65,14.17,34.67,27.84,97.38,48.95,85.29,123.53,151.78,42.84,31.64,0,0,0,0,0
000917.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.63,81.88,131.62,166.01,146.96,0,0,0,0,0,92.78,118.25,108.74,81.06,117.92,13.18,0,81.1,146.2,94.94,39.76,26.06,36.37,26.09,17.78,26.24,35.05,24.43,24.97,26.62,25.89,26.43,29.67,13.88,78.62,18.29,23.85,15.11,51.72,16.18,16.84,23.15,12.9,10.18,8.75,14.65,143.66,119.23,104.9,81.56,214.78,70.41,42.11,39.03,20.84,26.09,19.25,25.1,26.77,31.01,38.2,53.03,74.2,56.06,29.68,30.59,74.94,44.19,14.35,11.87,12.29,10.31,15.02,11.62,13.93,30.99,18.88,12.86,28.5,0,0,0,0,0
002027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.01,61.19,256.09,181.26,0,0,0,0,303.81,264.5,208.65,178.6,146.07,119.78,128.06,142.71,58.46,68.69,51.73,19.19,12.7,30.53,71.38,45.67,3.97,14.32,34.46,21.99,20.53,25.91,11.29,14.68,15.26,13.07,20.53,21.03,23.35,15.41,16.84,37.21,28.75,18.77,28.75,33.99,30.84,25.64,49.79,34.16,21.72,22.34,39.08,36.59,15.2,9.64,12.15,14.75,11.03,12.53,11.41,17.45,18.49,31.28,24.24,25.98,11.44,17.4,28.18,31.46,21.96,18.51,17.68,21.05,25.09,16.6,29.88,16.82,13.6,16.59,21.23,0,0,0,0,0
002103.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.36,50.52,56.4,111.2,94.72,69.34,17.12,72.13,3.92,0,0,0,0,57.08,151.9,100.05,40.14,91.12,90.19,69.77,23.76,14.54,23.19,16.62,11.31,12.86,63.41,30.04,12.01,8.95,10.17,8.01,14.2,9.44,8.65,0,0,0,0,0,141.01,76.28,58.62,47.2,56.71,27.82,116.07,173.68,120.18,107.2,190.57,169.72,142.52,120.57,62.75,41.08,159.1,130.09,76.58,122.86,213.5,106.59,128.19,177.09,137.86,497.35,256.5,105.28,52.31,42.81,65,34.44,38.49,28.39,31.15,148.64,59.1,71.99,25.79,0,0,0,0,0
002131.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.38,21,0,0,68.39,96.27,71.36,172.98,39.48,0,0,26.66,66.65,35.46,45.98,55.7,25.17,37.44,55.91,36.64,25.03,18.56,31.58,48.11,36.08,27.89,54.24,29.9,27.12,42.37,37.16,32.6,25.16,52.87,22.01,21.41,58.69,14.58,51.26,18.83,14.41,13.75,13.73,9.97,19.6,14.02,72.73,25.89,54.87,75.24,226.78,107.65,55.6,36.66,21.84,30.19,33.35,52.51,52.88,108.91,102.05,150.53,193.64,79.09,60.78,92.88,147.95,70.3,83.31,48.96,92.39,46.79,50.96,45.49,39.31,41.31,31.41,29.35,46.17,0,0,0,0,0
002137.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22,25.44,42.75,0,0,0,0,0,0,0,145.96,182.92,104.52,73.64,158.65,154.67,97.43,134.4,124.56,124.74,41,48.27,164.91,48.1,34.23,33.64,45.23,29.86,182.84,57.23,32.44,52.78,47.93,46.35,26.42,16.55,23.48,18.79,320.11,262.68,209.76,103.66,126.94,53.64,40.38,35.24,226.2,94.96,64.51,55.92,160.29,158.54,58.73,44.29,33.85,60.5,67.65,109.28,57.6,91.34,207.06,180.19,134.75,74.09,47.73,216.85,223.72,144.57,46.55,23.75,27.06,26.25,30.26,25.21,28.2,55.01,26.89,92.34,38.67,0,0,0,0,0
002247.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.42,35.53,54.06,71.56,66.01,68.13,102.77,24.82,0,0,0,0,96.81,42.68,49.13,65.99,37.73,38.1,48.29,32.67,30.87,21.15,42.01,27.87,17.35,15.38,22.43,12.95,11.91,9.67,13.69,24.14,20.23,10.7,26.12,15.24,8.73,7.79,11.8,9.01,9.37,19.62,43.58,32.41,26.93,36.42,72.71,29.52,49.38,52.81,125.66,125.8,80.26,125.06,62.68,92.51,67.56,74.63,170.77,161.06,70.37,68.68,50.41,64.59,46.63,51.67,84.96,64.41,26.76,19.26,28.79,25.72,22.57,28.76,75.26,50.59,28.83,132.24,63,0,0,0,0,0
002291.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3,13.21,46.2,61.57,69.65,64.29,40.94,39.34,30.51,38.84,52.73,51.61,31.16,23.66,47.54,2.63,0,0,0,99.52,74.5,44.29,81.39,30.84,19.27,20.62,20.44,17.46,16.23,2.94,100.64,82.12,69.71,32.68,25.69,18.43,26.12,14.84,35,12.94,26.42,12.49,19.1,9.47,52.46,13.32,41.46,21.87,12.75,14.99,32.35,33.82,12.05,9.26,11.56,9.18,13.86,82.38,116.42,212.4,270.21,271.26,253.62,139.9,134.24,102.96,122.44,41.57,72.89,64.97,56.93,36.56,78.32,29.87,68.31,54.42,68.01,57.54,62.9,0,0,0,0,0
