Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
000038.SZ,365.6132,319.8308,330.3808,292.9438,304.1195,262.7867,163.2321,321.4340,370.2735,428.4265,404.6350,464.7121,376.5325,285.5583,375.0613,387.0702,849.2614,969.1609,"1,279.7043","1,303.8874","1,598.7776","1,513.5841",589.9258,541.6183,485.9033,501.8013,536.5032,533.1756,486.4536,477.7636,479.1699,437.8684,429.1879,426.6479,416.5467,489.8514,467.3534,456.0267,439.6431,426.7940,365.5598,334.5857,332.5948,278.3045,263.8300,285.6141,322.0042,235.7220,212.7162,255.8529
000607.SZ,0.0000,"2,271.8281","1,653.7708","1,802.6182","1,833.8852","1,587.4703","1,579.9692","1,525.9001","1,439.5055","1,404.6570","1,126.6070","1,052.0094","1,076.8475","1,156.8122","1,196.0469",992.3262,943.2839,903.2253,967.2107,907.5972,899.8286,601.2856,685.2076,587.4019,662.6778,531.5077,628.0541,"1,741.4164","1,420.6982","1,314.5561","1,374.5748","1,395.9542","1,337.6186","1,292.6849","1,463.1990","1,448.7987","1,141.5768","1,127.0655","1,236.2505","1,233.7893","1,137.7878","1,231.7241","1,172.3707","1,153.6087","1,237.8478","1,125.0675","1,329.8650","1,695.8947","1,710.5053","1,669.9985"
000676.SZ,0.0000,"2,216.1334","2,335.8094","2,720.3505","2,780.9452","3,398.9013","2,603.3798","2,356.7123","2,058.6981","2,719.1953","2,024.6210","2,080.4924","1,680.9278","2,148.7734","1,972.1483","2,515.3778","2,121.2750","2,142.1658","1,881.5086","1,840.3096","1,514.3385",181.6253,166.9750,436.8228,396.1557,428.1965,478.9160,493.3526,462.2340,468.6436,490.1839,595.8236,621.2590,612.4768,614.4132,583.1969,587.8677,630.2963,566.4723,699.6230,711.8650,609.2151,681.1956,629.2289,703.2937,"1,007.9710","1,025.5678",945.3183,924.3785,919.8769
000917.SZ,0.0000,"8,691.1140","9,146.8586","11,040.3094","10,255.7006","10,044.0345","10,121.4052","10,452.8170","11,051.1910","12,030.3972","12,175.5670","12,950.5513","12,357.0366","12,474.1987","12,525.2039","11,445.3712","11,083.9796","11,109.9597","10,668.0488","9,780.5280","9,560.3327","8,627.4484","8,720.7479","6,518.5135","6,255.0971","5,474.2649","5,667.8110","4,593.8061","4,072.1315","4,861.2141","7,108.6062","9,020.2075","9,104.7995","8,999.6943","9,075.7858","8,760.9956","8,212.9079","7,810.5418","7,430.6302","7,217.7900","7,156.7284","6,666.8760","7,692.4778","6,923.6620","6,727.1125","6,514.2031","6,470.5490","5,741.7808","5,684.6133","5,557.9498"
002027.SZ,0.0000,"6,061.9989","4,373.7457","4,964.0605","5,706.8692","4,454.7802","4,680.7277","4,135.2875","5,330.3941","3,819.1438","4,623.5259","4,780.2490","4,777.9296","3,956.7344","4,996.7206","4,124.5455","7,441.6717","3,622.2981","3,975.4731","3,124.4159","3,207.1025","7,403.3527","7,765.6074",127.9670,104.0202,93.1879,95.3690,106.3860,93.1051,111.4031,194.9602,315.6594,313.7022,326.3356,282.7075,205.5313,228.5340,229.2370,309.7094,302.7859,312.7721,361.3590,380.0214,380.8252,475.5005,456.0709,439.2065,359.4090,345.3109,293.2948
002103.SZ,0.0000,774.9737,893.4038,755.0054,728.9653,741.4271,880.6844,732.3234,746.2786,789.1125,"1,046.8804",889.2910,914.1827,834.3012,873.1511,822.5938,"1,129.6964",990.2334,908.0133,937.5498,483.4263,353.7160,521.6397,347.0863,509.4113,389.3272,420.7631,393.2026,414.2312,404.9641,418.9313,397.5229,412.6764,377.0296,423.7668,435.8720,472.6186,409.4189,471.9483,479.3198,418.2612,502.2155,546.6802,466.3100,518.5424,503.1578,354.1371,376.3846,493.0984,447.5080
002131.SZ,0.0000,"6,763.2141","6,244.6091","4,750.2594","4,254.8944","5,297.8599","5,187.2563","5,935.3744","5,839.6454","5,904.2185","7,198.5982","7,860.9616","8,372.6269","7,765.6206","5,682.4020","5,300.7065","4,475.4568","3,714.1193","3,795.2332","3,211.6960","2,982.1319","2,500.3322","2,610.3524","2,255.3227","2,173.2101","1,911.1662","2,117.3200","1,783.6286","1,891.6432","1,044.2845","1,287.3177","1,093.4019","1,175.1297","1,162.2271","1,104.6241",925.7129,985.7333,"1,106.9311",775.1937,439.2080,468.0521,470.6625,385.1040,247.0689,354.1356,266.7098,185.7232,156.3745,167.1329,177.8237
002137.SZ,0.0000,408.8280,397.6535,354.9648,357.2087,346.8394,345.5432,292.1052,281.8231,233.9008,292.4425,357.9126,396.3055,333.8077,378.2653,238.2595,253.4573,232.9270,269.1214,335.3145,307.6064,315.1288,421.6260,109.1116,128.3566,141.4102,154.5558,176.5604,202.2939,246.5207,375.3636,360.2603,374.3699,303.7463,333.0997,453.3742,503.9941,564.2652,619.1066,783.4449,678.7544,655.4774,797.9911,574.4162,563.0878,455.7311,261.4040,278.8466,192.8395,423.1623
002247.SZ,0.0000,370.3736,410.6956,482.9729,426.7985,"1,010.4066","1,279.0841","1,136.2431","1,201.9239","1,171.1774","1,105.1673","1,399.5452","1,434.6528","1,180.5292",845.3492,710.1829,541.1457,455.5434,402.8640,566.1465,984.8242,224.0148,253.8761,268.1884,239.1632,186.2682,223.6413,255.6585,229.4292,185.7233,204.0568,225.2777,218.5314,171.6842,168.0141,194.6958,183.4501,129.2705,134.4455,131.8809,136.8030,97.6488,90.3610,97.9839,137.3395,129.3806,102.5931,101.9022,89.0541,67.2728
002291.SZ,0.0000,"2,224.7946","2,036.7949","2,067.7761","1,997.2398","1,855.6139","1,861.3690","2,054.7486","2,077.4430","2,206.1625","1,560.8471","1,617.8225","1,547.8897","1,785.7613","1,672.7784","1,704.5326","1,702.5846","1,650.1642","1,140.8030","1,171.0290","1,197.1755","1,225.3919","1,205.0226","1,172.8906","1,413.6778","1,256.1631","1,143.7428","1,096.2080","1,182.8418","1,192.3319","1,215.3131","1,094.9907",971.6184,"1,045.7735","1,038.7307",696.1170,773.2522,572.9309,470.1936,378.4566,462.0769,459.6894,337.0839,306.2914,347.1658,479.9310,437.0266,348.0693,403.5857,0.0000
