Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
000038.SZ,107.4694,129.9798,151.0010,50.8747,27.2267,17.3235,64.0551,148.3327,111.4309,91.3920,112.2619,48.0470,35.6682,0.0816,0.0816,0.1069,324.1501,405.9790,595.9671,581.0758,610.7535,582.0982,600.9967,586.8638,555.7606,571.0446,614.1271,621.4928,598.4716,588.2821,615.5757,508.8384,514.4811,505.9916,511.9204,588.9162,569.7550,567.4378,560.5144,469.0537,480.5295,463.1973,461.8777,423.4020,350.5220,374.9525,327.1407,300.2349,278.2795,270.5507
000607.SZ,0.0000,28.1318,20.7341,25.4721,24.3832,31.5001,27.0402,274.0380,261.5869,262.7486,41.9155,49.8937,42.3708,48.7191,31.4349,38.2914,55.4476,40.3466,33.1970,44.2984,41.6586,42.3874,41.8552,34.8431,39.7270,35.2477,35.0186,416.9460,344.5051,225.7141,246.4812,273.6439,256.5293,258.1932,225.1805,236.9377,197.8186,164.3288,154.7314,204.1228,226.2940,238.1007,223.9214,244.8167,180.4942,158.5812,195.9957,284.3799,241.1915,173.8273
000676.SZ,0.0000,35.7761,1.3830,0.4192,0.5714,0.4846,0.4438,0.6763,0.6606,0.6937,0.0032,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,40.4717,36.3510,83.5807,87.2127,90.5292,103.7409,133.8809,118.4675,121.8685,122.6369,128.3640,149.8029,152.3022,151.8349,170.3700,186.9691,198.1662,187.8590,248.9445,237.4584,255.1948,236.8227,281.9001,261.2576,340.0956,331.9092,361.4048,358.5865,366.5467
000917.SZ,0.0000,"1,074.9366","1,071.9526","1,411.1437","1,804.2733","1,808.5181","1,820.6754","2,278.6882","2,611.3377","2,680.0457","2,710.1141","3,046.2483","2,821.9687","2,866.6881","3,143.1091","3,342.6300","3,250.2959","2,984.7917","2,952.9706","2,634.2105","2,634.1987","2,047.6249","2,025.8991","1,822.7666","1,757.0545","1,741.3490","1,711.6286","1,665.9334","1,658.3567","1,544.0332","1,537.5342","1,567.5661","1,599.8454","1,576.6148","1,597.6349","2,020.9980","1,957.0917","1,984.5075","1,968.5373","2,060.2618","1,537.3360","1,422.9952","1,380.1282","1,139.2667","1,079.6500","1,054.2218","1,078.2143","1,043.1302",979.6568,967.8617
002027.SZ,0.0000,9.6838,4.5682,4.8274,4.0269,25.6475,4.1909,7.7399,2.9053,2.9702,2.9099,14.0744,14.0189,12.6523,6.9978,2.6897,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,12.5130,14.8587,15.2181,10.7678,15.8450,16.0980,21.3819,19.6835,169.8470,177.2249,137.0452,101.3308,196.3155,209.2646,137.1913,157.5014,253.9073,222.4378,230.7266,189.1689,236.1831,248.7319,224.5264,183.2232,303.1519,311.4595,254.8560
002103.SZ,0.0000,169.7322,167.2723,188.7589,196.2777,208.7359,208.3468,212.1425,221.9381,187.1397,210.9794,232.6037,262.7641,253.8920,245.9167,214.4413,236.1141,205.0453,201.4072,220.3458,241.1107,251.4662,228.8018,213.5973,220.2679,207.4154,183.4599,182.0342,195.0883,190.2585,177.1980,166.8900,184.7917,179.2748,178.7593,189.3500,181.7849,164.2758,159.4889,157.6475,179.0256,178.1624,155.3472,148.8021,207.7732,176.7909,153.9251,167.8812,166.5622,160.3169
002131.SZ,0.0000,557.4833,474.1871,413.4501,373.3555,408.4577,423.5006,527.2553,492.4007,488.4216,497.9950,449.6227,417.3185,425.2489,422.0622,413.9988,389.1103,376.5293,371.7485,391.0607,375.5535,395.2736,364.2441,359.8498,358.4268,444.4243,448.7630,399.7739,373.1619,349.4765,364.2236,372.6317,357.0272,367.2108,340.4797,309.6603,305.6921,355.3401,301.2120,231.1455,234.3483,197.2834,198.8592,162.2491,178.9982,168.0022,141.0461,127.3839,133.4956,129.9720
002137.SZ,0.0000,98.5043,94.3288,78.5006,89.5107,95.9190,72.5471,69.6508,72.6056,67.9149,67.1551,89.1069,100.6403,75.3816,54.4932,50.0786,58.1416,52.8439,49.8322,45.2372,35.4961,30.9677,33.7307,22.7567,32.2945,29.8473,27.3300,42.8777,44.0584,42.9835,52.9000,70.4778,112.7600,112.2040,106.2273,124.2110,115.8169,147.7285,138.1705,169.7264,180.0979,150.0304,173.4614,149.3443,164.5274,101.6324,102.7317,119.5166,83.3514,61.5114
002247.SZ,0.0000,121.8505,108.9151,98.1641,104.0433,112.3766,106.0950,114.3890,111.0426,118.8428,113.5477,121.2039,131.3156,118.8764,123.9011,131.2800,117.8989,120.1704,105.3544,114.5287,109.1769,108.5727,112.1583,122.2498,116.5716,108.6944,108.4199,115.2967,125.6783,122.8699,115.0093,115.3993,110.8519,102.9007,103.4420,98.8457,93.2782,81.8651,82.8693,72.3447,67.9035,57.1323,56.4360,55.0738,61.2910,52.6818,38.1554,30.7319,29.4627,31.3480
002291.SZ,0.0000,"1,281.1089","1,281.4383","1,174.8774","1,091.9858","1,130.4123","1,210.7810","1,324.1731","1,356.1446","1,392.6533","1,409.4638","1,376.8763","1,373.8183","1,374.2817","1,379.1368","1,515.5169","1,519.2284","1,501.1427","1,511.7706","1,487.7991","1,494.6064","1,499.4903","1,475.1419","1,380.3530","1,385.0575","1,355.0295","1,350.6260","1,192.3413","1,183.1189","1,178.0601","1,181.2327","1,076.7638","1,079.1070","1,057.6340","1,045.9242",933.4689,895.2807,850.8245,799.8215,787.4570,717.9291,649.4950,573.6365,587.8087,567.3989,520.8133,447.6350,389.9481,350.3579,0.0000
002400.SZ,0.0000,1.4655,0.8697,0.4329,0.1578,0.0722,0.0013,0.4875,0.4169,1.5851,1.5871,1.7906,1.8746,1.8867,1.8878,2.1080,2.1203,2.1218,2.1383,2.4873,2.1468,1.0872,1.1854,10.1900,4.1387,3.2666,0.9542,0.9054,0.8666,3.6605,1.6206,1.1700,1.4573,1.7429,1.5600,0.6372,0.7402,0.4430,0.5306,0.4155,0.3109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
