Code,2021-06-30,2021-03-31,2020-12-31,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31
000038.SZ,30.7085,37.7731,38.2631,86.1013,56.7307,48.6234,33.2210,"-2,763.5113","-2,644.4755","-2,592.8484","-2,546.7180",256.5740,241.6707,260.2393,302.4122,386.0799,310.0572,253.0622,192.9231,78.7102,61.0991,42.1688,8.3956,-30.0540,-35.7182,-41.2809,-42.4202,-5.0422,-0.8169,0.9569,2.0835,-1.7376,3.9638,5.0942,2.5919,1.4716,6.1076,3.5246,1.9838,16.9454,3.0301,16.6323,26.2227,27.3469,27.9838,17.9189,10.9976,-7.5636,-7.1158,-7.3931
000607.SZ,0.0000,-296.8335,-341.7688,-104.1203,-100.9843,-76.1657,-49.6804,80.8188,75.2031,74.8945,73.1035,63.0049,85.7374,85.8727,81.0927,170.1567,190.7250,216.8702,217.0720,207.0098,201.7129,181.7911,198.2923,305.5145,229.1711,196.3491,177.7624,-6.3039,-3.3555,1.1839,4.2210,36.7578,39.6844,16.5129,4.9648,-26.3818,-8.0896,-5.2229,-0.5301,-88.7136,-153.4052,-181.8334,-165.0156,-146.7261,-109.8522,-84.5881,-82.2750,-31.6030,-17.1278,-15.5421
000676.SZ,0.0000,"-2,650.1851","-2,617.2959",-242.3880,-115.4640,50.3855,125.6351,479.4372,546.8520,622.0046,668.3410,718.2147,691.5069,541.7630,459.1464,420.8922,385.6395,367.4108,240.8829,114.9261,14.1537,-47.0064,-42.5690,-57.6768,-75.8631,-66.5859,-74.5081,-36.3166,-26.2934,-20.3998,-16.0273,-108.2793,-127.3757,-134.4375,-142.3861,-110.9430,-95.1001,-84.5630,-89.5979,-36.7144,-9.6364,-19.0500,-9.3738,-47.6189,-91.4586,-92.2763,-99.2635,-88.4955,-64.4307,-51.4367
000917.SZ,0.0000,"-1,437.6155","-1,661.6073","-1,275.7133",-869.6992,-787.9301,-720.7633,-957.3151,-931.2843,-908.0388,-974.4683,-715.4087,-686.7583,-616.8258,-459.1204,122.3673,241.2016,191.3575,221.8580,208.4860,304.3854,356.6574,354.1294,317.4094,214.8588,247.0289,302.4666,356.8823,390.0366,463.8461,427.6402,281.3485,306.5257,323.2608,291.7956,301.8332,371.4703,439.1789,541.4197,951.7812,768.2953,614.1284,403.2688,91.2798,48.0613,13.8367,11.6022,-79.8566,-64.7919,-14.5498
002027.SZ,0.0000,"4,832.9336","3,494.6533","1,920.0038","1,432.8501",868.1113,"1,157.2215","1,398.8938","2,391.1109","3,887.5846","4,769.3833","5,414.2027","5,155.2871","5,045.4389","4,530.0855","5,022.7334","3,949.8084","3,519.7514","3,436.8344","5,267.6712","4,428.3813","3,534.6134","2,918.7884",-4.3224,0.3187,-0.7774,-1.0725,-92.4831,-111.4929,-128.8598,-136.1772,-48.9104,-11.0395,1.2952,1.2494,-52.8777,-64.3848,-57.2321,-47.6470,12.7938,8.4666,6.1563,5.3437,-78.2356,-76.5183,-78.7098,-78.8379,-8.4081,-29.9293,-23.9022
002103.SZ,0.0000,-216.3320,-236.6961,-1.8300,-6.5187,-20.5513,6.6333,33.8603,29.3714,65.8124,67.1045,-218.1883,-204.4206,-192.5980,-185.3249,99.8358,110.2878,93.4407,82.3266,82.6740,87.1076,82.1127,68.7145,41.1639,0.0308,-14.3771,-11.9108,-11.1886,-0.4958,-2.7171,-3.1758,5.4100,3.7492,25.1079,28.6092,27.0365,34.6353,22.5233,22.2815,31.1651,33.2075,37.4436,38.8427,51.5881,51.8471,60.1551,59.6576,51.6240,43.4224,46.9202
002131.SZ,0.0000,-954.9526,"-1,171.7098",-771.7956,196.1673,27.3294,71.0035,"-1,887.3290","-1,977.0647","-1,929.6282","-1,974.8099",87.4395,80.2858,197.4282,253.1413,481.9445,533.1126,516.7256,494.9926,467.0359,337.5105,286.8360,202.1435,45.6447,122.9574,-11.4933,50.4228,155.3568,39.6431,119.0858,29.1324,25.5927,32.1502,24.2896,43.5781,56.8970,76.7151,90.8839,84.5370,89.7813,95.0895,99.6058,92.8016,95.4056,86.9672,78.9270,82.9666,79.1851,82.4021,72.2294
002137.SZ,0.0000,14.5793,19.1096,-62.0831,82.5163,-99.3679,-64.8265,-465.9569,-561.9789,-422.8370,-444.7118,78.5880,57.3396,88.0690,68.4922,-66.8678,28.0232,14.5402,15.4627,145.4369,20.8219,25.4573,11.1938,0.3033,5.6887,6.6842,6.6934,-107.3419,-170.2622,-191.5579,-188.8137,-82.9264,-24.2570,5.1837,13.0992,31.0949,29.6150,30.9265,35.2434,29.3045,38.6785,36.3900,28.4259,23.7850,46.0432,36.8990,25.8153,14.9291,-10.1127,0.0341
002247.SZ,0.0000,206.2237,180.6722,"-1,385.9782","-1,444.1512","-1,622.3238","-1,575.3585",-327.4177,-238.6417,-105.4524,27.8007,452.0377,528.6702,526.8680,434.3477,436.3059,414.5378,387.2174,322.6739,239.0338,148.4632,83.2511,81.3412,96.9455,96.3480,91.6348,90.9801,82.5829,79.4412,77.1417,74.4671,65.6604,60.4316,52.5921,51.7743,47.1244,42.5834,40.4176,39.3626,37.1890,34.9047,35.3090,36.1918,37.1723,38.9465,38.8088,36.1893,31.7247,27.4686,22.5430
002291.SZ,0.0000,75.5546,17.0383,-63.7767,-11.3705,80.9195,151.1308,89.0231,37.6354,8.3906,6.3237,-354.8843,-348.3914,-348.1626,0.0000,20.7746,20.6882,20.5624,18.2575,13.4554,13.0709,12.4022,16.6265,21.5691,20.4666,26.2249,30.6764,35.0480,35.0356,33.1578,32.7370,38.4622,37.1714,46.2429,55.1724,88.0638,92.3016,101.1433,101.3724,100.3996,100.1514,101.3153,97.2267,96.9794,113.2261,112.6339,112.1422,109.3786,0.0000,102.4700
002400.SZ,0.0000,-932.7214,-933.0728,-75.8688,35.1009,52.9801,81.2021,80.9329,55.8356,92.0290,107.6467,-445.3945,-492.4892,-432.3851,-433.8180,290.4005,480.0034,535.5923,556.3065,586.6946,569.6159,545.6560,515.8624,502.3864,446.9941,426.8474,422.1519,346.4528,316.7961,281.8434,261.0047,243.7704,227.7695,193.1649,177.3477,118.2881,106.5967,96.4446,90.9812,87.8140,79.2174,73.2429,67.7761,68.6739,58.5082,53.5936,51.6573,0.0000,0.0000,0.0000
