Code,2020-12-31,2019-12-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31
000038.SZ,214.6204,"-2,568.0767",311.5176,391.0044,113.5507,-33.4667,-10.4961,-2.0609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
000607.SZ,-36.4041,114.6664,117.5286,186.3767,289.3106,303.2587,5.1974,21.8095,38.2549,-92.4199,-145.8106,-10.6478,-95.6622,-102.4034
000676.SZ,78.9472,559.8057,777.7428,496.0221,170.7952,-63.3395,-12.8261,-81.3624,-109.7713,-6.5136,-48.3605,-82.7659,29.9395,33.5496
000917.SZ,-866.4771,291.1695,-709.5116,228.8645,252.3072,350.6395,406.6967,572.6148,291.9492,"1,007.2270",41.4129,-28.7801,122.2231,81.4845
002027.SZ,"2,717.3228","2,373.5614","6,897.9300","5,220.7015","6,538.8946",2.8600,-83.2665,-33.4995,-54.1497,9.2655,-67.5583,-3.6805,52.5300,24.4439
002103.SZ,6.1969,-717.0504,79.8027,132.7691,101.2400,52.9587,14.0979,21.2373,35.7906,55.5783,60.6647,67.7427,68.8660,68.2654
002131.SZ,"3,085.6974","-1,801.6870",226.6982,572.2474,489.3291,209.2809,153.2554,54.3259,78.6052,102.4534,110.8631,92.0346,60.0543,43.0087
002137.SZ,0.4988,-310.7453,91.5201,70.6385,155.8247,8.8548,-107.6487,-63.2473,26.3417,34.7287,21.0040,4.4791,60.6655,59.9406
002247.SZ,"-1,410.6516","-3,254.4092",560.7758,459.3431,275.2551,102.8274,91.1948,72.4249,51.1879,40.4289,40.0524,34.4979,39.5509,0.0000
002291.SZ,-68.1789,94.2810,-351.5133,22.4967,16.3820,30.8254,36.4084,40.4791,85.6858,100.6653,100.8381,110.3670,0.0000,0.0000
002400.SZ,-13.1984,148.0699,-207.4879,356.3327,619.7899,526.8318,371.4186,249.0840,127.5722,86.8688,69.2108,0.0000,0.0000,0.0000
