Code,2020/12/31,2019/12/31,2018/12/31,2017/12/31,2016/12/31,2015/12/31,2014/12/31,2013/12/31,2012/12/31,2011/12/31,2010/12/31,2009/12/31,2008/12/31,2007/12/31
000038.SZ,1608.794693,1944.448842,2539.926838,1454.429307,788.5898968,295.9693606,170.1459523,203.629897,1.14494545,1.14494545,1.14494545,1.14494545,1.14494545,1.14494545
000607.SZ,1574.136516,1844.118093,1802.017132,1877.006909,1672.334139,1044.566209,2137.041954,2273.227183,1680.529675,1496.039427,1354.811701,2147.708452,2820.248264,2604.139959
000676.SZ,11741.45684,9983.525529,7596.057018,5314.332944,1545.469816,385.3126738,336.6433338,441.298047,581.9563978,798.8199043,758.0383055,699.3185044,913.573725,867.141144
000917.SZ,6246.889649,7950.11823,10224.0043,8133.902412,7316.57958,5421.632738,5275.600064,4887.11132,3848.611975,3498.354135,5789.408538,3903.361903,3156.333254,2449.072384
002027.SZ,11105.55917,12580.54065,14160.56811,11400.55915,15857.36444,427.0927129,537.603413,1632.755377,1191.551878,1580.153154,1594.346861,1710.516805,2331.13935,3280.221547
002103.SZ,2438.066519,1907.504977,2308.462012,2173.688984,1603.680626,1238.667173,849.799598,896.6625031,1064.213931,1042.184104,1100.545323,815.8902878,893.1702355,767.2528555
002131.SZ,13980.67865,13093.04038,12692.13393,10009.90887,6430.73314,3907.862385,2451.497106,1776.567775,1490.362472,1289.484002,1128.153227,821.4747311,992.2012431,754.7917723
002137.SZ,947.2394559,779.9934959,1110.769503,853.8260179,733.2163727,456.9141402,449.1582384,701.7773465,1337.475714,1681.614412,1200.132655,614.6080084,1055.537018,1005.561239
002247.SZ,660.8184714,2911.609589,3961.710167,2482.816912,1376.657521,880.541983,845.1356991,717.3629352,579.3936206,452.2816615,330.4082902,218.5139588,226.3741737,0
002291.SZ,2130.000448,1761.987886,1506.329544,1524.00186,1525.359378,1714.543981,1817.735275,1803.499936,1511.545302,1289.903392,1027.171913,828.7536955,0,0
002400.SZ,11967.03588,12206.56197,12533.61597,11191.31638,10225.84829,8429.408162,6025.277397,5085.977891,4228.858219,3667.315305,2897.457253,0,0,0
002712.SZ,3545.600546,3142.988878,5366.245238,4171.29711,3397.064304,2385.567322,2036.055207,0,0,0,0,0,0,0
002878.SZ,1929.993664,1400.940454,923.5599418,789.490395,0,0,0,0,0,0,0,0,0,0
002995.SZ,2875.19324,0,0,0,0,0,0,0,0,0,0,0,0,0
300038.SZ,6220.505136,5421.856387,4244.358178,2090.711706,911.2119697,732.8472096,620.7135881,471.7843512,426.833447,313.001045,304.5246421,0,0,0
300058.SZ,37275.92918,25789.38724,21761.83336,14538.08508,10799.81859,7679.813939,5554.119204,2781.855919,2061.251276,898.913287,448.1082242,0,0,0
300063.SZ,10401.74303,8072.084126,7934.940329,6286.235767,4772.610785,994.2017448,885.6430392,526.6029681,359.7036948,321.9307791,258.9427558,0,0,0
300071.SZ,1178.771417,2868.57312,3171.961391,3563.385397,4409.11281,1850.915159,1554.572951,1628.309007,1208.25287,869.2031974,492.3051235,0,0,0
300242.SZ,6948.003491,5463.013972,4530.382447,2792.635236,2335.915058,687.4957786,177.7880794,134.6756414,172.2238542,201.5292961,0,0,0,0
300269.SZ,1462.169396,3582.010231,4053.429792,3747.623888,2307.273943,1423.878039,793.3868212,595.1642156,532.6612639,462.3420222,0,0,0,0
300280.SZ,1306.667207,561.2103393,604.5533671,310.0252691,256.9291586,263.578741,328.0436061,303.6222942,411.4999134,398.4484906,0,0,0,0
300343.SZ,2114.588087,3826.381548,3607.192562,2512.229966,1861.760972,861.5324805,720.599358,495.4316509,432.6091296,0,0,0,0,0
300392.SZ,1371.533863,1236.623443,1541.568262,1525.208479,1426.172619,1245.642868,793.2633003,0,0,0,0,0,0,0
300612.SZ,532.5720709,295.0855867,471.2907609,476.8801066,0,0,0,0,0,0,0,0,0,0
300766.SZ,547.2318666,528.9787812,0,0,0,0,0,0,0,0,0,0,0,0
300781.SZ,299.3200846,401.7368525,0,0,0,0,0,0,0,0,0,0,0,0
300805.SZ,3371.65392,2965.328948,0,0,0,0,0,0,0,0,0,0,0,0
300987.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600088.SH,751.2062399,852.6558316,714.1024877,674.2694469,500.7447159,631.2484538,922.4674221,1300.808307,1196.47467,1177.751373,1403.945862,1018.4543,1004.415382,804.854601
600242.SH,639.3804697,3219.910542,2842.040284,2053.145577,918.8254142,306.1496446,381.780245,518.6902434,370.3706613,345.5026419,245.8618157,43.09507921,6.321261,6.321261
600386.SH,4524.309646,5223.372117,4545.688646,3909.27468,3328.129797,2955.712625,3070.290448,2973.533936,2975.41986,2329.277666,1654.32669,1353.90271,1107.448164,1862.701591
600556.SH,4181.740053,39.24693751,77.73529115,50.52779988,75.41291477,65.21537753,47.79378705,6.46527292,21.40908528,21.40908528,21.40908528,21.40908528,13.92107478,52.66789363
600986.SH,11595.03198,17833.78128,13549.94099,8590.40713,6160.866118,1585.369629,1109.326644,1021.223789,1449.92278,1070.911321,962.8794642,547.4388048,594.5895283,533.1177671
603598.SH,4476.057853,2664.9492,3599.961636,1997.801674,1758.865075,1628.143944,0,0,0,0,0,0,0,0
603729.SH,603.9356849,787.4709187,1394.733026,913.0591382,1070.312018,1341.234637,0,0,0,0,0,0,0,0
603825.SH,9680.908365,10938.96768,10126.50382,7766.03303,0,0,0,0,0,0,0,0,0,0
605168.SH,2364.42877,0,0,0,0,0,0,0,0,0,0,0,0,0
000681.SZ,578.4269025,872.1643039,936.1143304,838.1451359,727.0090279,408.8832263,288.6632989,95.02962514,15.11868446,15.11868446,15.11868446,15.11868446,31.25558932,29.29740215
002095.SZ,296.2005135,394.1508222,421.4188846,383.604634,260.2994195,153.7273962,162.2919358,207.9311962,148.1390707,169.2489247,156.2902428,121.266625,98.26311741,72.03162338
002188.SZ,5.36527078,60.22894426,203.2234799,786.4376415,512.2838539,107.7588238,118.059331,168.2995717,247.888997,356.9153344,358.6565765,242.9180973,268.4134306,279.9572713
002315.SZ,1072.008193,965.9167048,891.2183116,1187.767798,594.4883313,468.1319202,518.2960312,499.8059776,451.7542496,417.9287751,297.7261849,202.4923999,0,0
002530.SZ,1208.767989,1415.097589,1179.067826,831.600843,377.2777091,411.2976014,384.7093732,349.0206063,353.1095804,330.9997918,270.0367785,0,0,0
300295.SZ,427.2301416,459.7590565,415.4150809,481.4926166,657.1015305,582.6252828,446.7021051,341.4893355,277.4109531,0,0,0,0,0
300359.SZ,657.8252545,823.4939946,815.4060496,1026.917633,850.7747237,279.9351688,186.6719559,0,0,0,0,0,0,0
300413.SZ,13739.52957,10711.35922,8083.671181,2820.084288,3210.49497,2770.788212,0,0,0,0,0,0,0,0
300770.SZ,1174.857052,929.5145937,0,0,0,0,0,0,0,0,0,0,0,0
600640.SH,3892.711602,4818.209886,4382.314661,4598.93605,2301.029166,3573.714733,2041.241269,1876.087689,1536.615785,233.7603869,421.8062277,399.981837,323.3769578,291.6886297
603000.SH,2096.668526,1927.892012,1469.038834,1434.684688,1450.204353,1648.690069,1372.864286,908.7069813,616.7532983,0,0,0,0,0
603888.SH,1365.240096,1527.277253,1566.733715,1468.260835,1251.924484,0,0,0,0,0,0,0,0,0
000156.SZ,4002.438804,3545.988435,3356.176449,3147.678157,3089.004526,2627.9662,2270.030401,1721.641226,1350.977189,360.8744211,360.8744211,360.8744211,360.8744211,360.8744211
