Code,2021/7/31,2021/6/30,2021/5/31,2021/4/30,2021/3/31,2021/2/28,2021/1/31,2020/12/31,2020/11/30,2020/10/31,2020/9/30,2020/8/31,2020/7/31,2020/6/30,2020/5/31,2020/4/30,2020/3/31,2020/2/29,2020/1/31,2019/12/31,2019/11/30,2019/10/31,2019/9/30,2019/8/31,2019/7/31,2019/6/30,2019/5/31,2019/4/30,2019/3/31,2019/2/28,2019/1/31,2018/12/31,2018/11/30,2018/10/31,2018/9/30,2018/8/31,2018/7/31,2018/6/30,2018/5/31,2018/4/30,2018/3/31,2018/2/28,2018/1/31,2017/12/31,2017/11/30,2017/10/31,2017/9/30,2017/8/31,2017/7/31,2017/6/30,2017/5/31,2017/4/30,2017/3/31,2017/2/28,2017/1/31,2016/12/31,2016/11/30,2016/10/31,2016/9/30,2016/8/31,2016/7/31,2016/6/30,2016/5/31,2016/4/30,2016/3/31,2016/2/29,2016/1/31,2015/12/31,2015/11/30,2015/10/31,2015/9/30,2015/8/31,2015/7/31,2015/6/30,2015/5/31,2015/4/30,2015/3/31,2015/2/28
000038.SZ,-32.2693,9.1621,9.32,19.9878,25.2639,11.8489,0.2465,4.0521,5.4896,19.5026,22.4738,19.5591,79.1087,83.4552,56.3858,-2.1111,11.2893,20.7098,38.6774,39.0833,20.985,44.4028,59.3594,-33.2183,-74.6525,-60.4189,-20.1573,-24.9555,-20.1694,-29.6138,-33.0973,-34.1156,-51.6399,-34.982,-35.5341,-5.5893,-5.5893,-5.5893,-5.5893,-14.5655,-24.135,-27.259,-15.6876,-24.0778,-48.6696,-40.294,-35.5351,-38.4435,-36.2728,-60.0724,-41.6586,-32.0891,-24.2277,-29.2993,-15.2324,-1.9652,0.597,36.706,53.6094,73.8142,94.1375,84.6999,84.6999,84.6999,84.6999,119.2942,128.5978,125.1454,70.8246,48.9784,33.5879,39.2322,52.1914,57.0042,54.4,42.0712,4.3796,-6.3202
000607.SZ,-19.6648,-11.6763,-9.9743,-2.8526,-1.9003,-12.3204,-16.2928,-12.8155,-11.4133,-20.9103,-4.6518,4.1669,-6.9466,-32.4747,-3.0845,-19.2927,-12.9534,7.529,38.5517,22.848,32.8711,42.1602,21.8176,23.2606,44.093,19.814,17.2453,13.5534,-3.3674,-27.4775,-31.9434,-33.8592,-59.6179,-55.6471,-60.4109,-52.4584,-58.1436,-39.3363,-30.0602,-34.5468,-50.3663,-49.6775,-45.4411,-51.6419,-73.6853,-48.1531,-46.4374,-34.5248,-30.6532,0.2656,9.6694,21.8949,23.4609,47.7289,52.4327,42.6023,38.4615,50.314,65.9985,54.7559,-2.7832,-26.4789,-42.7251,8.1067,3.7592,14.5376,55.527,43.8439,14.5501,-16.7466,-6.9857,5.4574,30.9996,53.0039,4.9792,-23.7707,-15.3951,-17.1407
000676.SZ,-23.7295,-17.817,-23.2326,-21.9286,-21.0087,-42.0752,-28.8396,-34.3968,-29.7578,-36.3089,60.1308,63.9972,60.9909,48.8695,40.092,26.5758,33.0717,43.3341,60.1237,44.565,63.3049,-22.4483,-35.2478,-31.351,-20.8747,-29.7169,-22.3123,-28.916,-5.1818,-20.5199,-19.9065,-4.2511,-6.2136,-15.7835,-8.076,-9.0526,-2.5342,-7.9282,5.4845,-15.0656,-27.565,-33.8804,-41.0645,-49.5562,-27.6919,-31.1118,-42.4667,-18.8926,-8.9223,-23.0268,-15.8241,-25.4024,-35.7224,-2.9041,-4.6685,-32.0588,-45.5954,-13.2996,239.4266,238.2071,252.5781,242.5672,259.2111,282.3985,246.9621,259.6743,287.0646,297.68,264.7315,-20.031,-11.8477,-1.7576,0.0773,7.5724,-16.3015,-6.762,-3.0077,-21.0497
000917.SZ,-32.8994,-13.6038,-18.3453,-26.8757,-26.5647,-32.5711,-22.4438,-13.1723,-10.7803,-3.3348,15.3933,18.0546,1.6092,-5.6276,-15.3428,-22.8435,-32.9554,-12.2826,26.2754,-3.9634,16.7107,54.0232,37.6899,44.8046,41.7303,49.4039,40.3624,53.6516,18.7967,-7.8895,3.3212,-22.7753,-73.6688,-59.9919,-68.6307,-57.9215,-55.8094,-50.0451,-47.588,-43.1046,-56.2418,-59.314,-36.7482,-39.7995,-40.0016,-39.1022,-34.2542,-46.0056,-40.7751,-37.5595,-33.9388,-27.3322,-8.0991,0.1997,-6.646,-38.4066,-33.9682,-75.9217,-66.456,-64.856,-70.986,-62.8704,-62.8704,-23.4585,-21.6598,10.0181,68.0548,68.3213,119.0085,113.7961,116.3704,127.116,130.7524,134.0388,72.4314,38.7316,30.868,-3.3102
002027.SZ,51.4529,69.6291,87.3914,73.7172,98.0181,79.9609,60.7468,52.9239,60.8552,38.4512,45.7077,19.0507,15.1065,-0.0927,-7.4384,-25.3407,-10.8235,-8.6131,21.3543,13.3854,11.1825,-7.2699,-34.53,-41.5878,-58.1039,-42.485,-40.8489,-26.9177,-32.8226,-70.9008,-69.6826,-59.2505,-37.7505,-7.4155,11.9238,38.1433,32.8985,33.2481,28.8605,43.6374,61.6805,55.188,44.7694,22.3905,5.7887,-4.238,-1.8879,-14.5674,-9.0493,-21.5751,-10.4482,-24.6424,-16.866,1.229,2.0698,-12.862,-35.8872,12.0094,54.4273,126.8286,132.5221,119.4965,129.8287,123.5098,125.9444,163.3014,207.7153,233.1811,156.4197,113.0578,36.9959,53.1597,37.9086,38.7373,48.7677,38.8468,9.549,11.5657
002103.SZ,-33.5065,-31.8922,-29.2688,-2.9672,3.8876,2.9534,2.0187,12.9921,32.1958,21.5161,38.1619,51.2035,48.6095,29.1298,-4.8848,-13.95,-10.9806,-2.5258,31.1155,7.5093,-4.6028,17.6521,-1.7911,9.8093,2.9459,-0.2026,-4.0685,-41.0366,-43.2815,-72.2289,-64.4619,-47.1928,-74.8851,-69.6298,-82.1538,-75.619,-69.4536,-70.4584,-29.8279,-43.4442,-40.2588,-31.0663,-31.3759,-38.1849,-28.1901,-21.7762,-21.7895,-29.4097,-22.766,-23.2977,12.8034,1.3206,-18.8811,-5.4087,55.3387,55.8553,57.2143,64.3647,68.1096,52.8119,37.8326,-5.5198,8.1145,41.5217,25.1318,14.3483,33.4758,64.1776,58.4039,52.5343,81.5835,103.6003,121.2016,112.2327,84.5595,72.1193,25.5999,11.9951
002131.SZ,-36.9998,-44.3536,-45.9039,-21.6827,-14.5002,-17.5255,6.7108,21.0662,48.4807,49.9596,73.4793,84.056,89.019,87.828,73.104,65.1919,71.5416,62.898,98.9641,51.1028,33.5659,10.7533,3.8954,-0.8333,0.2858,7.5913,0.4763,-5.8965,-35.3787,-67.3202,-53.9259,-47.1719,-55.3669,-50.1202,-38.6221,-33.5906,-35.6797,-29.6886,-29.941,-20.9773,-42.1894,-43.1318,-41.2581,-39.3745,-42.0986,-46.6337,-47.8946,-52.0203,-51.1947,-29.1796,-28.3894,-24.9188,-10.4742,2.2675,12.4105,-4.145,27.1268,29.0434,34.782,44.9501,16.9165,-0.1361,-10.1559,135.8829,120.8829,121.8998,160.1555,137.0877,136.6603,136.2421,126.9585,122.8084,136.1146,154.2006,-2.5294,-14.1912,-5.9893,-10.1974
002137.SZ,-29.7437,-27.2502,-30.4878,-24.0658,-17.7149,-22.7421,-25.7822,1.1864,14.2958,2.7399,24.9015,31.975,20.8639,15.3235,2.5969,-11.8369,3.4971,25.1246,38.6272,4.0191,6.662,25.0262,4.1345,-0.8655,-11.5322,-6.4836,-1.1686,-13.2055,-42.7795,33.2007,47.4326,49.0233,22.3131,21.4784,24.2484,34.3693,45.8735,45.414,46.3722,64.2886,-60.0818,-60.4198,-49.131,-52.7686,-53.563,-49.3073,-46.5993,-63.6203,-43.2386,-52.9823,-30.6791,-16.2213,-6.8458,5.6126,-1.9101,-25.1947,-5.1397,60.9951,65.469,57.2152,70.7765,46.5274,52.2594,49.4915,34.4711,81.6357,140.9192,120.7036,51.423,60.0406,64.3477,66.6466,57.7461,54.7004,49.7165,37.4457,3.1488,-17.974
002247.SZ,38.0294,58.8009,52.3488,38.7225,7.0881,-18.3027,-28.4167,-29.0673,-30.495,-18.4206,-11.2728,-21.6295,-61.8957,-80.4089,-47.7812,-67.2703,-59.601,-52.1916,-19.5668,-40.1197,-59.3885,-36.2039,-52.0376,-55.17,-60.2593,-82.2717,-82.296,-73.4211,-81.9591,-102.9856,-84.2357,-79.2278,-98.8872,-83.1777,-79.6383,-55.1097,-32.75,-11.3643,-9.7608,-13.4858,-21.8575,-26.5673,-17.6134,-22.8459,-13.4949,-6.5167,-7.5087,-17.9619,-1.1647,-6.9999,15.6365,3.0364,11.8884,57.9905,58.8243,67.3404,59.2818,51.3767,50.4458,40.5846,65.9236,22.0327,26.1952,40.9947,47.8037,92.6581,90.5872,96.4023,83.4652,103.6333,118.0564,92.6882,148.1861,167.3428,151.2273,89.7458,55.4751,40.4773
002291.SZ,-3.838,-1.3342,-24.9289,1.8479,-17.1691,-16.3751,-42.2946,7.6971,201.5445,198.8046,228.9195,239.5162,254.7543,258.9666,224.6549,233.2449,232.824,258.6008,249.1339,53.4625,40.1591,24.3379,11.0415,-2.9216,5.8264,18.7858,10.3599,11.5858,-8.3028,-33.986,-38.243,-19.1361,-48.3024,-50.6295,-53.5878,-58.5705,-62.1632,-84.6796,-94.1975,-88.7939,-97.4188,-82.2034,-81.4526,-68.0068,-52.1281,-16.5056,-15.3876,-15.6939,12.7114,23.4552,28.5532,34.6058,35.209,72.7231,68.4789,23.3018,1.6261,23.4219,77.2596,86.6189,56.5774,26.8398,27.4263,74.684,45.8433,64.7019,114.0431,112.8564,82.7922,11.4475,30.2214,62.7882,96.1305,92.7191,52.7836,28.526,-1.2925,-6.0156
