Code,2021-07-31,2021-06-30,2021-05-31,2021-04-30,2021-03-31,2021-02-28,2021-01-31,2020-12-31,2020-11-30,2020-10-31,2020-09-30,2020-08-31,2020-07-31,2020-06-30,2020-05-31,2020-04-30,2020-03-31,2020-02-29,2020-01-31,2019-12-31,2019-11-30,2019-10-31,2019-09-30,2019-08-31,2019-07-31,2019-06-30,2019-05-31,2019-04-30,2019-03-31,2019-02-28,2019-01-31,2018-12-31,2018-11-30,2018-10-31,2018-09-30,2018-08-31,2018-07-31,2018-06-30,2018-05-31,2018-04-30,2018-03-31,2018-02-28,2018-01-31,2017-12-31,2017-11-30,2017-10-31,2017-09-30,2017-08-31,2017-07-31,2017-06-30,2017-05-31,2017-04-30,2017-03-31,2017-02-28,2017-01-31,2016-12-31,2016-11-30,2016-10-31,2016-09-30,2016-08-31,2016-07-31,2016-06-30,2016-05-31,2016-04-30,2016-03-31,2016-02-29,2016-01-31,2015-12-31,2015-11-30,2015-10-31,2015-09-30,2015-08-31,2015-07-31,2015-06-30,2015-05-31,2015-04-30,2015-03-31,2015-02-28,2015-01-31,2014-12-31,2014-11-30,2014-10-31,2014-09-30,2014-08-31,2014-07-31,2014-06-30,2014-05-31,2014-04-30,2014-03-31,2014-02-28,2014-01-31
000038.SZ,-13.4529,-7.8512,6.9850,2.1680,12.9592,4.8128,-2.6042,-12.3288,-3.0973,-1.3962,-14.5414,-17.3752,33.5802,7.1429,12.8358,18.2353,-8.6022,-14.2066,-8.5232,-1.6598,12.6168,-11.5702,-20.2899,93.1298,11.4894,-14.2336,-40.2616,4.7982,-4.7861,9.4444,-1.2539,-5.4815,11.8476,-5.3333,0.5521,-29.9448,0.0000,0.0000,0.0000,0.0000,0.0000,-4.7374,-6.4998,-5.6767,11.3246,0.0000,0.0000,0.0000,0.0000,0.0000,-8.9762,-9.5695,-7.8614,5.0716,-14.0669,-13.2672,8.3756,4.7589,-2.9084,2.1707,-23.7996,9.4376,0.0000,0.0000,0.0000,0.0000,0.0000,10.9378,40.8679,13.9950,22.3755,-3.4763,0.0000,0.0000,0.0000,0.0000,34.5943,9.3036,7.4854,-13.4529,-7.8512,6.9850,2.1680,12.9592,4.8128,-2.6042,-12.3288,-3.0973,-1.3962,-14.5414,-17.3752
000607.SZ,-6.3712,-5.0000,4.3956,-7.8481,1.0230,4.8257,-5.3299,-7.7283,8.3756,-1.7456,-9.0703,-1.5625,2.9885,6.0976,-0.7264,1.9753,-5.5944,-9.3023,-4.2510,9.7778,-11.2426,7.1882,7.2562,-8.1250,-19.4305,28.6638,-14.2329,0.7449,11.1801,26.7717,-5.9259,-1.2195,16.4773,-13.0864,-6.6820,1.4019,4.3848,-16.8016,-2.9470,-5.7407,2.6616,-10.3918,-3.1353,-9.2814,-9.1156,-11.4458,9.3544,-1.3004,2.0057,6.3291,-10.2273,-13.1579,-9.7030,1.1011,-15.4822,-31.1590,14.0864,11.0701,10.6122,5.8773,37.2479,-0.8235,-0.9324,-8.1370,25.3691,-10.7784,-40.9894,9.9456,22.9226,26.2967,-5.3653,-20.2912,-24.5192,-17.1786,42.6948,21.0216,0.0000,0.0000,-1.7375,-6.3712,-5.0000,4.3956,-7.8481,1.0230,4.8257,-5.3299,-7.7283,8.3756,-1.7456,-9.0703,-1.5625
000676.SZ,-11.8616,-8.1694,8.1833,10.0901,1.8349,7.4951,-23.8739,9.5395,3.7543,-18.0420,-11.1801,-3.3613,-2.2569,2.7677,11.3941,2.7548,-13.5714,-10.6383,3.9823,8.3933,-24.5931,85.2596,0.5051,-5.2632,-9.3537,2.6166,-10.7614,-7.0755,-0.3759,20.7719,-7.1654,-5.8532,-0.4936,-12.2944,-1.3664,1.1226,-6.2256,-3.3568,-13.6792,23.3583,5.4338,-6.5520,9.8022,-2.4561,-21.8643,6.3411,0.1460,0.2928,-8.7508,-0.2665,2.8082,-7.0656,-12.8674,2.6181,-10.9478,0.0000,2.9212,-11.2089,23.8669,1.2195,-14.3710,10.0109,-16.6439,-23.1874,35.4364,-12.7122,-27.3903,-10.6154,21.0869,276.5931,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-11.8616,-8.1694,8.1833,10.0901,1.8349,7.4951,-23.8739,9.5395,3.7543,-18.0420,-11.1801,-3.3613
000917.SZ,11.8126,-5.2124,2.5743,10.7456,3.6364,3.2864,-12.1649,-14.6127,10.5058,-15.5993,-8.5586,-7.5000,14.0832,-2.1672,2.2152,3.9474,-2.7200,-2.0376,-5.3412,12.8978,-8.1538,10.1695,-4.8387,-2.3622,-9.4040,-7.5000,-3.5533,-12.8319,18.6352,33.2168,-17.3410,12.5203,47.4820,-21.1720,4.7525,-12.4783,0.1736,-12.5948,0.4573,-16.2197,6.5306,-6.1303,-13.5762,-3.4115,-7.4951,-3.8863,-1.7691,2.2857,-6.8305,2.9144,-11.7363,-6.6066,-9.2025,8.9896,-6.4628,-7.6972,-2.9869,3.0789,-9.4657,-1.6000,6.1300,-8.1156,0.0000,10.0306,17.2884,-13.3085,-39.4578,1.4515,-38.8746,0.0000,0.0000,0.0000,0.0000,0.0000,49.4425,19.0871,18.3694,18.5789,1.7180,11.8126,-5.2124,2.5743,10.7456,3.6364,3.2864,-12.1649,-14.6127,10.5058,-15.5993,-8.5586,-7.5000
002027.SZ,-19.2575,-8.1055,-5.0093,16.1638,-15.2511,0.8287,10.0304,1.7526,3.8544,15.7373,7.0292,24.4224,10.0707,12.7530,2.4896,9.0498,-17.2285,-9.1837,-6.0703,11.7857,-6.6667,14.2857,-2.2346,6.1265,-2.4462,-4.8561,-8.8525,-2.7113,-6.9733,23.8971,3.8168,-8.8696,-4.1667,-29.4947,-0.9313,-18.9623,10.7628,-7.2164,11.2199,-12.8782,-14.1811,5.0350,1.5625,17.3333,0.8403,18.4080,7.2572,5.5180,-6.8668,6.8323,1.8987,3.8620,-1.4575,-8.8561,-5.0456,-15.7615,8.3813,9.6073,-7.1615,-1.3487,-5.6935,13.0256,-10.3322,6.3189,9.2389,-4.2048,-30.6933,-14.6439,57.5039,35.2564,71.0526,0.0000,0.0000,0.0000,0.0000,11.6735,33.1522,13.7206,10.8219,-19.2575,-8.1055,-5.0093,16.1638,-15.2511,0.8287,10.0304,1.7526,3.8544,15.7373,7.0292,24.4224
002103.SZ,-5.7737,-5.8696,10.0478,8.5714,-3.2663,-3.6320,-5.2752,-15.6673,-3.3645,5.5227,-11.2084,-9.3651,-4.2553,12.6712,34.8730,3.5885,-4.5662,-6.2099,-4.6939,15.8392,-5.1570,5.4374,3.6765,-6.8493,-6.8085,0.8584,-5.4767,-1.5968,2.2449,28.9474,-7.7670,-17.2691,27.6923,-15.7667,4.7511,-13.6719,-2.2901,-9.3426,-38.5649,0.0000,0.0000,0.0000,0.0000,0.0000,-10.5114,-7.7729,-7.1371,3.8753,-10.3474,2.0656,-13.6163,3.1854,9.1925,-0.3096,-6.8090,-0.5166,-1.3590,-7.1504,-3.7449,-3.7037,1.5339,22.4848,-8.2974,-11.0092,13.1628,53.9384,0.0000,0.0000,0.0000,0.0000,-19.0014,-13.4454,-20.8676,5.3369,22.3980,-3.2271,43.1549,19.1275,30.7018,-5.7737,-5.8696,10.0478,8.5714,-3.2663,-3.6320,-5.2752,-15.6673,-3.3645,5.5227,-11.2084,-9.3651
002131.SZ,-0.4274,-0.4182,-4.0650,-16.3265,-3.9216,-2.8571,3.9604,-11.6618,8.2019,9.6886,-5.5556,-14.0449,-7.7720,-5.6153,7.8947,3.2609,-5.8824,28.1967,2.6936,35.6164,11.1675,17.9641,-3.4682,-2.8090,-6.8063,-6.8293,-4.6512,0.4673,19.5531,38.7597,-12.2449,-6.3694,-4.8485,-10.3261,-7.5377,-5.6872,0.4762,-11.7662,-5.9055,-9.9291,6.8182,1.1494,0.3846,-13.0435,-5.0794,3.9604,-0.6557,-1.6129,-5.7751,-6.1579,-0.9654,-14.3939,0.2070,2.2583,-11.1599,-7.8035,-0.5747,-1.9166,-5.7386,-4.9495,15.8572,-0.1752,-10.9233,14.6516,15.0000,-1.0169,-24.3590,30.6971,0.0000,0.0000,5.2186,-12.1764,-17.2278,-20.9431,160.6904,0.0000,0.0000,13.8967,7.6293,-0.4274,-0.4182,-4.0650,-16.3265,-3.9216,-2.8571,3.9604,-11.6618,8.2019,9.6886,-5.5556,-14.0449
002137.SZ,-5.4545,8.6176,4.3071,2.2989,-8.9005,-3.0457,-4.9839,-12.2708,0.9972,-1.4045,-14.5258,-0.8333,11.1111,1.0695,8.7209,-2.5496,-8.0729,-8.0240,14.6978,14.1066,-12.9604,7.6358,6.2402,0.0000,-4.4709,-4.0057,-16.9834,7.2611,13.6035,28.2004,-20.5015,-10.3175,26.0000,-14.6515,-5.0000,-15.1376,1.0429,-11.6684,-4.7758,-15.9705,104.1806,-6.2696,-8.7268,-0.7102,-15.4862,-2.2300,-5.0167,12.5471,-12.1279,-3.8176,1.9459,-20.1898,-6.6076,2.5620,-4.3478,-16.2806,2.0257,-2.3087,-4.4739,8.2538,-13.5613,24.2491,-5.7320,2.7679,15.0204,-11.8705,-39.5652,22.0807,63.8261,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.2941,19.7183,1.8651,-5.4545,8.6176,4.3071,2.2989,-8.9005,-3.0457,-4.9839,-12.2708,0.9972,-1.4045,-14.5258,-0.8333
002247.SZ,-12.9371,20.1681,14.4231,-7.9646,22.8261,5.1429,3.5503,-8.1522,3.9548,-6.3492,-12.9032,3.3333,40.9396,7.9710,-21.5909,-8.8083,-20.2479,-6.5637,-8.8028,2.5271,5.7252,-5.7554,-7.0234,0.6734,-10.5422,11.0368,-28.2974,-12.5786,0.8457,23.8220,-18.0258,-13.5436,17.4292,-22.8571,-2.4590,-15.6315,-10.9756,-28.3217,-3.7037,-7.6923,2.7955,0.7241,-8.5357,-2.2302,-7.1476,1.0804,8.8971,11.3841,-6.9360,-2.1002,-11.4173,-5.5762,-3.9857,0.4182,-7.4627,2.2034,8.0586,7.9051,0.9309,9.8612,-7.9354,11.2191,-18.1763,4.8663,46.5203,-6.6289,10.7195,0.0000,0.0000,0.0000,0.0000,17.4036,-32.6718,-14.0138,19.6658,53.3293,38.2255,8.6486,5.8151,-12.9371,20.1681,14.4231,-7.9646,22.8261,5.1429,3.5503,-8.1522,3.9548,-6.3492,-12.9032,3.3333
002291.SZ,-3.9936,-13.4562,18.7739,2.5253,3.6047,-2.8249,9.5297,-12.2693,-7.5301,-0.4995,9.1008,-10.7924,-10.9524,-4.8208,29.3021,-15.4123,-2.0309,-16.3898,37.7224,186.3173,-3.2394,39.2157,-0.1957,4.2857,-0.6085,-5.0096,-6.8223,-2.4518,9.3870,28.2555,-9.3541,-16.5428,23.3945,-13.4921,-9.6774,8.1395,7.9498,-15.2482,-1.2259,-10.5016,2.5723,-13.6111,2.5641,-5.7718,-15.8192,-12.6357,3.1568,4.3571,-37.7646,-10.7438,-5.0980,-6.0526,1.6043,3.3149,7.6740,0.0595,22.9868,4.2748,4.0508,-9.3593,0.0000,0.0000,0.0000,2.2075,40.8290,3.4298,-45.1176,1.3111,26.0706,57.8885,0.0000,-30.0415,-29.7376,0.5865,49.4652,11.9883,22.2884,4.2236,0.1244,-3.9936,-13.4562,18.7739,2.5253,3.6047,-2.8249,9.5297,-12.2693,-7.5301,-0.4995,9.1008,-10.7924
