Code,2020/12/31,2019/12/31,2018/12/31,2017/12/31,2016/12/31,2015/12/31,2014/12/31,2013/12/31,2012/12/31,2011/12/31,2010/12/31,2009/12/31
000038.SZ,2.7722,4.4413,-96.8271,6.6384,4.6032,5.1258,-44.92,1.2503,1.3271,1.3534,17.5279,17.2788
000607.SZ,-25.0024,1.1383,5.5635,8.1554,12.6259,18.4136,14.9525,3.3477,6.4888,7.235,-53.651,-16.8942
000676.SZ,-79.1167,9.2952,12.1681,10.4364,6.8603,2.4227,-48.3091,9.9933,-79.7093,-25.6747,3.0494,-28.5212
000917.SZ,-14.4018,1.0051,0.8663,-4.6486,3.0308,3.5567,3.4073,5.0868,14.5279,18.5026,14.2221,1.5061
002027.SZ,23.5285,13.6103,41.0036,57.8902,55.7033,73.6973,1.3305,-25.301,1.338,-9.0619,1.4711,-10.56
002103.SZ,-30.0124,1.2502,-66.8317,6.2883,7.0055,5.0833,1.2559,2.2664,4.9758,6.0488,8.4674,10.0735
002131.SZ,36.7757,3.7824,-26.9975,5.5446,7.6322,3.9381,8.979,3.7023,4.5029,11.4345,17.1971,18.3111
002137.SZ,1.9368,6.0982,-26.97,4.288,9.3204,2.0235,2.8543,-38.7806,5.991,6.8576,5.3028,1.2357
002247.SZ,27.2952,-358.8714,-143.1028,9.5711,8.2599,8.0923,10.0326,9.0485,11.2551,8.7379,8.7678,9.1946
002291.SZ,0.7305,4.4802,0.3001,-23.6697,1.1343,1.2423,2.1729,2.0998,3.5199,6.3474,6.8601,8.3119
002400.SZ,-21.0876,2.7791,3.5698,-3.6718,11.774,22.4756,22.0567,19.2248,14.4159,8.9999,6.6791,32.6492
002712.SZ,-59.1733,1.4947,0.9531,7.0514,9.384,9.5194,8.5227,16.4834,22.1852,25.3438,26.6186,19.7372
002878.SZ,19.6502,16.4683,15.4609,13.7605,21.1902,20.6081,20.7866,9.1222,32.9372,0,0,0
002995.SZ,10.1292,22.6198,25.4895,40.6101,52.6831,67.3312,46.9389,0,0,0,0,0
300038.SZ,-283.1037,5.2507,6.0268,4.9284,5.5082,3.0032,5.0295,4.9955,4.3131,3.6734,3.4687,6.3303
300058.SZ,8.0664,8.1717,6.141,3.6026,11.7974,1.6059,15.913,11.6523,17.138,12.4019,6.9146,23.0885
300063.SZ,9.9464,7.0986,-91.9577,-16.4229,6.4412,2.2667,0.2393,2.2275,2.2317,2.9939,4.0377,25.0552
300071.SZ,0,10.2177,-653.5199,-31.2767,10.9417,11.6585,7.334,10.9051,7.8174,8.2706,7.9361,25.4571
300242.SZ,-53.8895,0.8213,-121.6528,8.3802,8.5403,2.8296,1.5947,-11.8385,1.3223,8.4452,22.8649,21.5337
300269.SZ,-301.5393,-247.4564,-144.1643,2.1278,5.0242,6.3109,8.2294,2.8546,4.711,9.2448,22.471,25.2083
300280.SZ,15.8163,9.363,6.412,0.7098,0.3533,0.9924,0.4818,0.269,4.4189,8.5737,21.1915,19.4665
