Code,2011/1/25,2011/2/25,2011/3/25,2011/4/25,2011/5/25,2011/6/25,2011/7/25,2011/8/25,2011/9/25,2011/10/25,2011/11/25,2011/12/25,2012/1/25,2012/2/25,2012/3/25,2012/4/25,2012/5/25,2012/6/25,2012/7/25,2012/8/25,2012/9/25,2012/10/25,2012/11/25,2012/12/25,2013/1/25,2013/2/25,2013/3/25,2013/4/25,2013/5/25,2013/6/25,2013/7/25,2013/8/25,2013/9/25,2013/10/25,2013/11/25,2013/12/25,2014/1/25,2014/2/25,2014/3/25,2014/4/25,2014/5/25,2014/6/25,2014/7/25,2014/8/25,2014/9/25,2014/10/25,2014/11/25,2014/12/25,2015/1/25,2015/2/25,2015/3/25,2015/4/25,2015/5/25,2015/6/25,2015/7/25,2015/8/25,2015/9/25,2015/10/25,2015/11/25,2015/12/25,2016/1/25,2016/2/25,2016/3/25,2016/4/25,2016/5/25,2016/6/25,2016/7/25,2016/8/25,2016/9/25,2016/10/25,2016/11/25,2016/12/25,2017/1/25,2017/2/25,2017/3/25,2017/4/25,2017/5/25,2017/6/25,2017/7/25,2017/8/25,2017/9/25,2017/10/25,2017/11/25,2017/12/25,2018/1/25,2018/2/25,2018/3/25,2018/4/25,2018/5/25,2018/6/25,2018/7/25,2018/8/25,2018/9/25,2018/10/25,2018/11/25,2018/12/25,2019/1/25,2019/2/25,2019/3/25,2019/4/25,2019/5/25,2019/6/25,2019/7/25,2019/8/25,2019/9/25,2019/10/25,2019/11/25,2019/12/25,2020/1/25,2020/2/25,2020/3/25,2020/4/25,2020/5/25,2020/6/25,2020/7/25,2020/8/25,2020/9/25,2020/10/25,2020/11/25,2020/12/25,2021/1/25,2021/2/25,2021/3/25,2021/4/25,2021/5/25,2021/6/25,2021/7/25,2021/8/25,2021/9/25,2021/10/25,2021/11/25,2021/12/25
000038.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61.6166,88.9914,359.2321,0,0,0,0,-571.5159,507.4573,357.1996,108.913,211.9492,0,0,0,0,0,472.461,-232.4701,103.5272,-0.1578,86.2295,242.6873,-64.7508,-40.8636,109.5018,-17.5781,1.9729,-14.4235,0,0,0,0,0,201.9559,-10.1738,-5.6066,-21.8483,0,0,0,0,0,-48.0383,39.0154,2.6752,193.4408,11.7023,4.914,56.1926,2.9423,57.4311,-182.5511,-82.5895,263.1614,1160.8912,-204.6358,-96.8202,260.132,86.3006,-10.7716,-29.0407,32.3931,207.6645,223.6196,119.7869,430.3481,-120.6516,-23.7871,20.8763,5.669,-16.4935,2.325,17.3316,45.4212,-0.4656,20.1008,-14.1155,-11.1305,0,0,0,0,0
000607.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6559,0,0,1.0012,283.8155,-2.5202,-32.49,79.9499,-15.2149,136.3913,153.8626,90.3548,-133.5601,-31.8945,82.4173,-8.6013,7.0387,9.7031,218.193,64.9346,78.508,64.8488,38.8532,-217.5886,-79.4733,6.8443,-43.7785,-39.691,-18.7003,52.1481,21.3748,-1.9428,35.8034,-20.6196,-7.152,-5.6109,-0.7555,-9.12,1.0712,-4.9324,-0.5751,-8.1344,1.585,4.5404,-1.2276,-5.1383,23.0094,3.3606,1.0302,26.6286,28.0474,125.3936,-20.7016,73.0806,-59.3755,-6.7569,5.027,-27.5135,-20.8128,6.7463,5.1279,2.9107,-3.4736,13.4525,0.2548,64.117,7.6485,-3.0856,-7.4581,-0.0361,7.026,-5.8106,-2.2551,4.8522,28.0827,8.7742,3.7948,-0.671,-2.1754,0,0,0,0,0
000676.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,548.7498,352.8089,-48.5512,71.1415,-21.8821,271.1855,-140.5371,-50.7461,2.4024,-15.66,14.9154,179.2783,-38.0018,9.0307,0,-47.3909,15.7888,-6.0815,-0.5096,18.0342,5.6976,-5.9538,3.0137,17.9138,12.339,-50.7567,-1.7309,35.1469,-17.0045,9.7982,146.789,-12.041,-8.4632,0.4663,14.556,-3.2065,-16.1804,7.4855,-3.8343,-8.4323,42.2623,4.3081,28.725,-20.9271,7.8424,-5.1016,-2.907,8.7571,765.3833,-270.1847,199.911,50.5521,51.7462,15.276,40.8732,64.0637,79.5961,49.6357,-2.187,-10.7436,-30.0865,40.4041,103.9799,-120.2618,47.268,75.4202,133.1884,146.9771,-23.9192,-10.353,0,0,0,0,0
000917.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7994,270.1543,162.2662,243.0663,443.0049,0,0,0,0,0,-389.2953,74.5557,-201.0597,-45.0909,123.7681,132.1954,0,-89.2141,93.1609,25.157,-32.0623,10.3474,-6.6087,-16.0567,-11.9867,20.8375,-11.6832,-2.3209,-19.1929,5.1378,-13.8654,3.9688,7.3276,-3.1853,88.3875,-2.6585,-30.254,-15.6575,47.9956,-31.5985,7.5111,3.1848,2.3486,-7.5583,3.2796,-25.1966,164.3991,154.8691,-63.3535,194.0909,378.5029,-33.102,-2.7592,-2.6825,-12.9337,26.9102,1.4526,26.1146,-5.2357,28.6697,12.1793,28.9005,27.8333,17.1478,19.2039,3.1401,88.3651,-4.5241,-5.3017,-27.5907,15.1453,-10.8225,-10.0053,6.8006,8.5155,34.518,11.5009,-0.833,41.5737,0,0,0,0,0
002027.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.9649,70.1353,497.2066,263.3537,0,0,0,0,770.3018,711.9426,514.0549,-50.8297,-85.0038,25.4869,122.147,158.1651,-22.2519,75.6037,4.9482,0.8288,-5.9955,32.1731,66.4415,-54.3017,-0.5981,-2.2994,13.471,7.7887,9.3449,-8.0283,-4.1261,8.6384,7.6416,15.6214,7.9916,26.6305,11.4177,5.15,-10.8395,-22.2608,36.4152,-4.5899,9.8695,-65.007,-7.5088,-65.6991,8.6446,-2.8802,7.2257,31.1658,-4.6311,6.5723,-8.2345,-0.864,9.263,12.0571,2.4494,18.8384,-1.0924,20.5222,-4.3006,-9.2669,-16.1044,14.7551,10.2168,16.4414,18.3436,83.7,8.2022,25.0144,3.2619,-3.5,15.6598,4.2749,-44.3168,16.3225,-4.5828,-4.0731,-23.9894,0,0,0,0,0
002103.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195.9603,52.8973,108.9596,24.9559,265.5117,99.8241,-121.43,26.7836,-39.2187,0,0,0,0,-52.1637,202.5186,25.5717,-22.1211,128.6998,17.9285,-19.3885,-3.3194,-9.0524,1.2738,0.236,1.5883,5.2889,99.0128,24.5075,-6.8585,2.553,-1.136,2.8258,-9.6436,-5.2609,-9.7812,0,0,0,0,0,-273.7651,-60.2043,6.9765,11.0198,49.6383,-29.5755,182.5947,130.9015,54.2714,167.2792,212.5588,240.6796,-201.7527,68.4471,-14.3813,-9.3116,67.3738,-79.3259,-6.7727,218.382,195.8193,15.1001,39.7359,94.1579,423.8909,286.0925,156.1105,-0.7718,-30.8265,32.3957,32.652,-34.1663,-0.4854,-16.1489,-4.4558,99.901,43.7917,31.1811,-5.823,0,0,0,0,0
002131.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.6142,54.5869,0,0,17.5628,26.8678,-196.4001,116.6739,89.0509,0,0,26.4682,-51.9985,10.2619,48.9501,55.6594,-53.2762,13.0399,54.9486,-11.8173,-15.377,1.5532,13.6832,-102.6402,-33.5967,5.1171,15.8358,-42.3992,3.6909,1.9762,-10.6916,-2.3468,7.1171,81.397,-2.7917,-14.2119,34.0006,0.2677,51.2002,-15.6906,-4.4728,-13.5531,4.622,-3.11,-5.4519,-5.9331,-33.2437,-4.6499,-24.2479,218.3312,335.6747,76.8885,0.8334,1.136,-4.8717,7.4472,0.7185,103.0398,53.0482,263.5798,20.3926,336.0326,77.5508,68.3179,89.4363,8.8984,-58.9899,-68.9399,94.6308,61.7937,87.2813,-23.9376,43.0174,9.6111,0.0196,-29.1768,-3.7863,7.84,19.3389,0,0,0,0,0
002137.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.8429,51.0881,144.5883,0,0,0,0,0,0,0,414.1564,219.9814,-159.6422,-17.8464,248.3803,183.3043,4.3014,258.6988,-67.1762,95.7253,-16.4937,5.3702,170.397,-56.0268,-4.6116,6.4573,-7.1556,-43.9058,173.3481,-11.1457,-34.3586,104.1437,-5.4981,47.6412,-28.1803,0.075,-5.0818,-1.177,932.5626,-112.8987,108.2514,-18.1586,139.5839,-36.6138,-5.4757,-31.0503,386.6327,10.2678,-43.5591,93.7165,206.7415,109.7226,-86.1375,-0.7359,-4.2277,60.0798,30.6213,-30.0401,-44.3711,72.3845,156.6065,79.2865,31.3045,-33.5833,115.3276,89.3094,153.0118,68.5441,-43.5933,7.0835,6.4711,-18.9113,-4.8264,4.8129,-18.7479,26.508,8.1133,-93.7933,-11.0415,0,0,0,0,0
002247.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.368,37.2766,100.6385,162.5759,107.6147,-2.1815,-46.7882,119.8673,0,0,0,0,-193.6137,2.6888,143.9212,14.5748,-64.6266,84.0932,-8.4555,20.9887,10.8147,21.9237,36.4199,8.6898,-11.9452,0.3088,-0.0558,-3.0885,-8.029,0.2046,-3.9551,33.015,26.7608,7.5658,-18.2424,0.7552,-2.8348,0.8117,8.4218,-4.5806,0.1706,-51.3308,-15.7636,-49.2109,-6.4493,-78.2184,129.1544,-18.2992,-57.0298,87.2044,142.7323,-104.0406,-103.7506,137.8418,-13.5285,44.7716,-6.0599,21.9475,138.7895,122.1014,-32.5799,17.4787,-47.7209,-48.7399,-53.4136,11.2906,169.1507,7.1446,-22.899,13.0542,13.0098,-0.4519,16.3081,29.9708,74.4559,-31.8242,20.6185,-33.7205,-23.2307,0,0,0,0,0
002291.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2461,5.883,49.4574,41.9507,198.4359,80.3393,-93.4603,-17.2219,27.5609,135.6576,83.5082,22.7353,-78.8953,26.0781,120.8624,5.8123,0,0,0,56.9975,87.7943,33.1654,129.9192,4.7703,15.3201,1.8472,4.6838,4.1713,0.2451,-26.0988,-348.8894,59.7059,43.5246,-22.4117,-26.5891,-5.1145,8.7086,-29.096,11.0285,-10.0701,16.2926,-14.5321,26.1687,9.2576,-71.7721,-15.257,70.5734,-16.1744,-7.7024,31.7196,8.0492,3.7576,-6.0477,0.5764,3.5238,3.7085,-1.2728,143.3883,2.4233,1378.1013,534.313,-7.8947,-8.7981,-82.6037,301.6464,16.0521,-2.5331,-12.9814,115.3179,21.1427,-8.579,-13.1814,115.44,3.9176,69.8536,53.5514,117.8328,-25.0653,15.7659,0,0,0,0,0
