Code,2021/7/30,2021/6/30,2021/5/31,2021/4/30,2021/3/31,2021/2/26,2021/1/29,2020/12/31,2020/11/30,2020/10/30,2020/9/30,2020/8/31,2020/7/31,2020/6/30,2020/5/29,2020/4/30,2020/3/31,2020/2/28,2020/1/23,2019/12/31,2019/11/29,2019/10/31,2019/9/30,2019/8/30,2019/7/31,2019/6/28,2019/5/31,2019/4/30,2019/3/29,2019/2/28,2019/1/31,2018/12/28,2018/11/30,2018/10/31,2018/9/28,2018/8/31,2018/7/31,2018/6/29,2018/5/31,2018/4/27,2018/3/30,2018/2/28,2018/1/31,2017/12/29,2017/11/30,2017/10/31,2017/9/29,2017/8/31,2017/7/31,2017/6/30,2017/5/31,2017/4/28,2017/3/31,2017/2/28,2017/1/26,2016/12/30,2016/11/30,2016/10/31,2016/9/30,2016/8/31,2016/7/29,2016/6/30,2016/5/31,2016/4/29,2016/3/31,2016/2/29,2016/1/29,2015/12/31,2015/11/30,2015/10/30,2015/9/30,2015/8/31,2015/7/31,2015/6/30,2015/5/29,2015/4/30,2015/3/31,2015/2/27,2015/1/30,2014/12/31,2014/11/28,2014/10/31,2014/9/30,2014/8/29,2014/7/31,2014/6/30,2014/5/30,2014/4/30,2014/3/31,2014/2/28,2014/1/30,2013/12/31,2013/11/29,2013/10/31,2013/9/30,2013/8/30,2013/7/31,2013/6/28,2013/5/31,2013/4/26,2013/3/29,2013/2/28,2013/1/31,2012/12/31,2012/11/30,2012/10/31,2012/9/28,2012/8/31,2012/7/31,2012/6/29,2012/5/31,2012/4/27,2012/3/30,2012/2/29,2012/1/31,2011/12/30,2011/11/30,2011/10/31,2011/9/30,2011/8/31,2011/7/29,2011/6/30,2011/5/31,2011/4/29,2011/3/31,2011/2/28,2011/1/31,2010/12/31,2010/11/30,2010/10/29,2010/9/30,2010/8/31,2010/7/30,2010/6/30,2010/5/31,2010/4/30,2010/3/31,2010/2/26,2010/1/31
000038.SZ,35.6334,62.4744,75.7546,98.8571,89.1863,53.6239,71.8466,76.265,90.2833,88.8932,132.8277,310.671,645.1828,382.4536,371.7903,318.9248,189.1103,189.1811,132.589,399.1778,406.471,250.0659,676.0893,476.7861,337.945,170.6899,251.1311,264.6736,161.1493,84.974,56.6842,104.6148,211.1763,52.9537,69.9109,21.7054,0,0,0,0,0,20.4136,60.3647,101.0297,123.3753,0,0,0,0,0,8.2492,20.3524,26.3708,33.8362,19.2308,31.2235,122.4687,40.2386,25.7186,70.0414,93.9705,57.1646,0,0,0,0,0,75.2149,92.9553,138.6738,110.1815,73.6062,0,0,0,0,37.2487,19.2725,24.3232,35.7972,33.8686,57.1701,31.2401,27.8128,24.6909,11.7518,8.2884,15.291,13.4657,23.2375,10.7465,12.3816,17.6703,47.4733,44.065,28.9756,17.5209,21.9153,64.299,16.7325,30.6262,25.1263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
000607.SZ,49.8858,89.5043,88.1667,230.7312,266.5046,69.5138,75.8339,74.466,63.3954,24.0508,70.6981,134.2592,256.0502,355.8746,63.8643,153.1919,121.186,185.5648,210.968,162.7643,418.4595,447.8928,278.1304,108.5299,337.4613,192.6072,178.2999,768.8436,452.4484,128.0053,85.2411,253.0989,186.3554,28.5153,24.8229,80.1297,37.978,38.5875,49.1479,104.7864,67.7604,41.1831,69.1756,44.6992,78.1576,111.0807,221.181,111.5726,147.4844,199.6435,123.1083,186.9682,347.3953,260.607,517.972,491.5699,318.5979,246.5206,268.7539,447.4877,394.6043,185.7998,138.7186,247.1759,314.8434,160.9898,231.1804,462.734,496.4946,428.0488,311.333,621.8321,588.7756,530.0792,740.9652,0.5111,0,0,54.6943,224.0738,150.5488,118.3206,257.1336,386.0202,262.0936,589.8104,219.6779,0,0,0,0,0,0,0,79.6888,68.1129,52.1085,83.7818,74.8532,39.3903,126.7111,80.6278,132.5293,114.906,73.8896,162.0263,115.8542,162.5868,85.0932,96.0603,102.0646,48.1534,146.4383,111.4171,29.1703,47.0409,57.9322,35.3846,101.7525,114.6004,109.0386,60.3602,106.4837,195.9782,310.7924,83.9616,63.852,111.6831,298.3016,209.6104,212.929,366.0526,249.2449,119.5438,205.3207,422.0864,389.796,131.515,191.3216
000676.SZ,363.4109,496.6049,"1,545.37","1,264.26",872.549,501.0058,996.2894,284.9625,354.1365,144.5938,200.4914,389.9994,954.2411,853.7426,917.9168,512.9414,651.5424,828.2106,923.9856,"1,228.64","1,487.88","1,436.06",175.5014,119.1166,100.2724,105.9866,94.954,305.5331,302.2459,87.4122,68.6528,57.7068,102.8408,59.4064,78.7916,140.7572,150.9985,93.6519,169.1394,224.0166,101.4726,62.4409,72.9187,49.5734,122.0621,55.6818,95.877,78.704,60.6872,70.5209,73.782,61.1396,104.101,93.8102,30.9423,0,92.7991,209.4085,269.1134,101.8586,164.9925,0.7416,136.9639,195.8876,248.9686,228.728,314.4902,323.5689,760.0473,237.1692,0,0,0,0,0,0,0,0,0,0,39.6584,150.9318,111.7904,86.311,85.0153,73.4412,87.1883,143.8407,123.2394,42.7361,33.0037,41.0615,41.4541,46.7535,58.748,76.6273,49.6972,63.4423,55.3308,52.3581,145.1263,41.5246,64.2685,31.6126,28.8861,41.5808,32.141,62.8308,19.1589,44.2487,40.6467,30.4234,56.2713,65.7802,30.5247,48.3498,40.165,28.0993,71.2531,51.6751,40.9565,33.8563,58.9809,106.2167,102.6501,54.8231,80.2634,134.765,151.0575,132.9147,113.0684,136.9017,70.5571,71.4389,105.8397,213.8276,155.2966,94.9685,123.6389
000917.SZ,403.9914,182.1393,267.4595,439.5999,197.2888,162.9093,194.3804,133.3122,159.1755,153.9813,185.6842,572.3117,970.3696,395.7926,384.285,725.9104,960.466,686.4847,494.4959,401.4592,346.6322,325.0386,249.2265,337.8973,269.7525,505.3273,545.1908,911.0059,"2,780.33","1,055.66","1,358.02","1,543.52","1,859.67",189.7134,113.176,131.9221,166.912,299.7391,218.1755,209.6313,669.2588,195.7551,308.7507,236.4185,"1,017.94",179.6053,321.713,280.9152,274.9666,282.5936,265.0363,259.3991,372.2093,278.8804,188.8122,277.1274,386.2915,276.7954,422.3211,"1,008.50","1,552.60",861.3499,0,139.9818,"1,252.31",860.7892,"1,154.83","1,255.78",985.2185,0,0,0,0,0,"1,560.64","1,763.02","1,397.88",869.4454,569.6331,860.883,529.9535,500.9596,439.4042,550.6974,717.1615,230.0067,155.6764,202.8133,195.4316,341.5689,330.6408,537.9445,364.3305,627.7964,859.1745,913.6728,"1,114.52",431.3683,841.3137,385.5076,231.1377,229.4924,319.3902,220.3579,158.6179,183.5205,176.7989,183.8869,188.4712,88.8423,150.3547,212.0677,518.1229,146.2879,71.6393,116.7403,219.9265,170.5407,84.8898,161.2453,198.7969,0,0,0,0,0,0,105.5429,223.9924,213.5923,210.1731,229.4045,154.8738,134.852,215.6405,201.5854,154.8703,117.3706,359.0009
002027.SZ,"3,113.69","2,434.92","1,997.75","2,470.60","4,382.17","2,436.07","3,681.89","3,091.39","2,596.90","2,718.55","3,224.87","4,618.71","4,134.81","2,553.25","1,675.68","3,811.74","3,557.19","4,592.09","2,712.87","2,561.22","1,675.08","1,835.24","1,620.39","2,162.04","1,779.61","1,412.96","2,228.09","5,367.78","5,737.09","3,279.01","3,190.21","2,379.65","3,467.11","1,784.48","2,148.17","2,367.04","2,001.53","1,101.59","1,667.97","2,160.34",978.6928,894.2145,"1,354.45","1,220.01","1,191.51",757.9095,885.393,852.0959,629.234,"1,049.77",830.6184,852.2671,"1,220.42",506.8925,140.1029,248.106,361.8624,154.8062,64.3539,97.2152,262.2844,164.5943,119.7718,292.4455,262.3876,245.4364,299.321,365.9264,427.5004,541.9504,622.4543,0,0,0,0,371.294,524.5256,125.3537,118.808,136.0737,192.4469,105.0888,213.3863,185.9344,121.3051,138.3369,278.7301,167.5457,154.8174,377.3755,415.0155,102.3482,143.2753,258.3261,288.8995,215.212,36.472,21.7314,43.9024,15.5274,39.4294,24.2965,46.863,62.1647,20.7183,26.5863,47.1084,65.0168,17.9378,19.9098,44.6395,107.928,47.925,39.1292,17.9944,17.6941,55.1031,22.8826,16.0095,39.4132,52.0985,69.0227,126.7281,86.5957,118.2001,46.2807,45.2099,100.9062,247.471,71.0605,105.0089,226.4043,76.926,67.9522,68.4834,174.0248,156.0245,63.4421,180.5534
002103.SZ,108.6534,303.4629,249.066,626.4255,131.3024,119.6862,162.2099,125.0203,234.6924,154.6191,188.867,380.2301,926.1489,"1,795.99",513.4271,668.3922,494.6245,411.1519,823.6876,473.9159,295.4361,501.8672,613.7349,158.414,242.1222,465.1118,534.6322,635.2885,713.2913,401.2726,449.7361,650.0947,434.4273,103.9915,212.2704,176.7565,219.4093,322.0252,459.0869,0,0,0,0,0,28.1418,30.7504,46.2358,26.0873,33.1028,27.4965,31.5007,78.8258,166.5176,33.829,29.7037,43.6745,60.8849,38.1772,62.3661,183.1694,236.7803,239.2353,80.6176,170.4276,258.7297,97.2331,0,0,0,0,6.7101,123.3908,29.3015,118.5521,161.9257,190.0701,96.4294,86.3703,115.1527,121.1939,0,0,0,45.3149,33.4241,30.579,50.8854,66.3993,86.0748,57.9857,24.6073,18.6175,23.6291,31.7024,54.9986,78.1601,66.6493,16.0597,32.3909,8.9318,20.8789,15.7724,25.1112,16.5109,11.2376,12.6835,9.7899,11.6507,21.1792,6.3267,10.9215,14.1532,17.6818,15.4159,9.7054,25.3032,38.644,13.6081,8.3169,16.1134,22.2702,13.8122,24.4585,48.9393,53.5444,17.2396,16.9708,36.6942,80.4155,42.1893,42.7487,52.6505,42.6037,20.76,33.8323,53.3132,52.4579,20.6012,47.2993
002131.SZ,"2,671.02","1,697.80","1,817.82","2,392.35","2,274.90","2,632.88","2,949.29","2,707.96","5,347.14","2,832.16","4,821.06","4,068.86","8,561.63","5,374.53","3,517.44","4,576.81","10,515.87","8,138.71","5,519.15","5,858.67","2,843.18","2,822.95","1,647.75","1,449.88","1,049.58","1,759.36","2,609.20","4,863.96","9,116.63","2,939.65","2,138.31",959.3022,"2,462.21",474.3658,664.2985,337.029,464.1189,466.0999,488.5064,637.299,"1,735.54",493.7479,"1,939.12",690.4136,705.4406,"1,695.45",793.1169,997.3349,"1,138.53",861.081,247.1781,285.092,517.4678,266.0036,320.2155,366.8401,216.935,127.5574,171.9426,251.7555,384.2864,236.8807,158.7146,351.2922,290.0431,223.5727,420.3836,165.495,0,0,244.1747,528.0847,147.5361,194.5866,138.0201,0,0,42.4034,87.2879,74.4217,59.9185,75.1854,97.3481,100.2123,101.4836,0,0,50.7987,120.1121,5.249,87.3305,69.908,65.4344,42.7094,82.8289,108.9594,62.3762,63.8863,56.6544,31.1059,75.4612,50.1293,106.4344,183.5078,114.6371,34.79,39.2826,35.3682,58.774,38.6352,86.9098,81.0467,61.2821,67.0606,25.0844,39.0352,64.8321,48.2472,25.0586,55.7748,111.9627,59.0236,78.4617,59.6038,162.6942,137.3071,0,0,0,59.5532,173.3605,228.8948,105.3215,116.5341,77.2295,135.6813,173.8577,53.3366,88.4892
002137.SZ,146.7031,350.4057,101.9929,208.7167,107.0052,95.6888,114.858,99.5894,102.7263,90.0376,176.5746,548.5305,848.8858,791.7684,174.1256,270.251,491.5802,657.3865,755.3791,333.2499,210.0793,398.6685,246.8306,220.7365,123.4746,161.6547,214.2998,578.4667,584.881,204.0152,206.1157,270.3408,644.2437,100.3325,115.0047,152.743,359.8935,293.3942,600.3026,758.0497,923.8672,54.2464,67.7514,48.0371,76.8757,134.6933,139.3973,153.4601,94.3007,166.2991,531.4148,85.9534,128.8154,95.8195,97.5383,127.386,420.9737,123.2419,104.6268,318.4122,317.989,343.106,248.6278,394.766,404.9173,187.9505,266.7505,466.8618,372.689,0,0,0,0,0,0,0,178.4236,106.2096,67.7562,103.1234,108.3956,124.4753,222.7827,186.13,158.7971,105.3905,27.2546,54.7019,89.3617,145.5256,35.4009,28.9664,38.4925,36.6794,53.3168,85.3306,109.7006,106.2848,164.3132,26.8054,46.6237,32.6857,113.1133,44.0535,33.9597,26.0146,34.6978,35.2822,36.3805,42.8087,250.8158,128.7538,69.4007,46.2916,15.0911,22.8155,116.0475,83.9307,28.7198,92.7407,195.2527,133.22,64.541,51.9708,63.877,26.7247,35.4109,123.9598,96.5482,60.5994,75.1814,111.2882,84.5915,137.3431,200.8986,114.6882,165.9822,21.8303,75.8109
002247.SZ,372.2068,781.5617,170.3878,299.0837,444.9199,169.9924,133.4111,149.0066,166.7405,111.5234,153.6832,350.8864,462.8364,281.3233,253.903,351.7478,274.4913,373.8856,383.1082,876.9521,929.8221,406.4983,367.8674,503.6982,341.4306,680.6875,436.7027,684.6653,683.6934,287.3653,268.6052,160.7428,392.9629,196.7222,144.8911,174.2097,234.1967,103.3965,49.3732,47.405,62.1177,41.081,45.9074,80.0036,136.8052,56.1132,105.5258,125.8609,71.3751,48.2431,53.1458,57.8739,100.1105,68.7058,77.4199,126.5474,190.614,95.917,140.0638,148.2985,218.9499,172.837,171.1911,240.697,109.2907,94.8953,215.3015,0,0,0,0,55.1063,228.2038,151.2656,146.5117,158.826,119.8237,78.6169,87.2675,135.8464,81.3184,98.6921,103.3002,121.7651,153.1191,39.2838,86.9586,46.7038,25.5332,38.8387,24.0148,53.4698,49.1433,23.6586,19.6657,25.8997,11.3598,7.0522,16.8501,6.8013,12.4339,24.959,33.1019,13.9543,3.6402,3.0283,7.5208,8.3686,7.3932,3.1172,7.9387,18.301,16.0089,16.2611,6.2223,8.9468,31.9631,4.3291,7.3251,19.8793,38.1894,18.8426,13.4032,20.6008,51.9154,21.2942,13.0921,41.0065,47.0175,55.191,42.5711,59.9545,38.7503,31.1152,18.3043,25.5539,18.8737,10.7251,34.4691
002291.SZ,386.4956,353.5433,418.0126,334.4324,419.6464,183.5143,474.3719,195.9852,305.0951,348.2107,390.6513,222.8036,656.3031,550.6358,717.72,587.1819,"1,011.75","1,082.10","1,077.96",847.2851,464.3816,328.609,55.2968,36.6524,46.0719,36.9534,47.9995,135.0202,129.0186,59.7776,50.931,86.8096,164.4729,52.8332,208.0986,37.6001,74.9995,45.374,95.9629,47.0105,127.2391,53.9878,94.9311,66.949,93.2256,118.7114,253.3438,298.3928,365.6457,10.7069,59.0305,63.4325,74.2937,74.9373,69.9473,112.0664,295.736,160.9709,270.7091,361.6928,0,0,0,9.5711,172.7959,85.9825,113.1461,187.52,191.5913,141.142,110.8649,142.911,148.7467,233.5407,253.1066,223.7821,167.845,47.953,73.7497,126.8567,65.4309,83.5284,103.4078,125.8379,80.005,39.1839,32.3063,69.0089,82.6441,94.6933,35.7603,99.2995,26.8761,42.2855,38.3443,40.6711,54.2977,24.8352,31.4201,30.615,33.6068,20.6213,37.8163,22.5435,10.9235,12.7198,21.6577,28.3648,19.338,24.2683,38.1702,24.4656,67.2604,78.8065,109.9434,204.4619,35.6766,14.7337,13.1812,49.0802,45.1402,31.3147,18.1061,18.0678,22.8144,9.5084,10.2936,37.2834,75.1721,31.1852,36.7506,67.9341,39.2503,30.5107,28.7374,42.6358,41.7346,22.6243,61.573
